name,country
"School of Information, University of Michigan – Ann Arbor",USA
"School of Integrated Circuits, Shanghai Jiaotong University",China
"School of Intelligence Science and Technology, Nanjing University",China
"School of Interactive Computing, Georgia Institute of Technology",USA
"School of Mathematical Science, Peking University",China
"School of Mathematical Sciences, University of Science and Technology of China",China
"School of Mathematical Sciences, Beijing University of Aeronautics and Astronautics",China
"School of Mathematical Sciences, Shanghai Jiaotong University",China
"School of Mathematics, Southeast University",China
"School of Mathematics, University of Bristol",United Kingdom
"School of Software Engineering, Beijing University of Aeronautics and Astronautics",China
"School of Software and Microelectronics, Peking University",China
"School of Software, BNRist, Tsinghua University",China
"School of Software, Tsinghua University",China
"School of Software, Tsinghua University, Tsinghua University",China
"School of Statistics, East China Normal University",China
"School of System Design and Intelligent Manufacturing, Southern University of Science and Technology",China
"School of Artificial Intelligence, Xi'an Jiaotong University",China
"School of Computer Science and Engineering, Nanjing University of Science and Technology",China
Sea AI Lab,Singapore
"Search, Google",USA
SenseTime Research and Tetras.AI,China
Sensetime,China
Seoul National University,South Korea
Seoul National University,South Korea
ServiceNow Research,USA
Shandong University,China
Shandong University,China
Shanghai AI Lab,China
Shanghai AI Laboratory,China
Shanghai Artificial Intelligence Laboratory,China
Shanghai Artificial Intelligence Laboratory,China
Shanghai Innovation Institute,China
"Shanghai Institute of AI Education, East China Normal University",China
Shanghai Jiao Tong University,China
Shanghai Jiao Tong University,China
Shanghai Jiaotong University,China
Shanghai Jiaotong University,China
ShanghaiTech University,China
ShanghaiTech University & Lund University,China / Sweden
Sharif University of Technology,Iran
Sharif University of Technology,Iran
"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",China
"Shenzhen International Graduate School, Tsinghua University",China
Shenzhen University,China
"Shien-Ming Wu School of Intelligent Engineering, South China University of Technology",China
Sichuan University,China
"Siebel School of Computing and Data Science, University of Illinois at Urbana-Champaign",USA
"Siebel School of Computing and Data Science, University of Illinois, Urbana-Champaign",USA
"Simons Institute, University of California, Berkeley",USA
Singapore Management University,Singapore
Singapore Management University,Singapore
Singapore Management University,Singapore
Singapore University of Technology and Design,Singapore
SketchX,United Kingdom
"SketchX, CVSSP",United Kingdom
Skyfall AI,USA
"Sloan School, Massachusetts Institute of Technology",USA
Snap Inc,USA
Snap Inc.,USA
"Software and Societal Systems, Carnegie Mellon University",USA
Sony AI,Japan
Sony AI America,USA
Sony Europe Ltd.,United Kingdom
Sony Semiconductor Solutions Corporation,Japan
Soochow University,China
South China University of Technology,China
Southeast University,China
Southern University of Science and Technology,China
Southern University of Science and Technology,China
"Southern University of Science and Technology, University of Birmingham",China / United Kingdom
"Southern University of Science and Technology, City University of Hong Kong",China / Hong Kong
Southwestern University of Finance and Economics,China
Stability AI,United Kingdom
Stanford University,USA
Stanford University,USA
"State Key Laboratory of CAD&CG, Zhejiang University",China
"State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China",China
"State Key Laboratory of IoTSC, University of Macau",Macau
State University of New York at Binghamton,USA
State University of New York at Buffalo,USA
State University of New York at Stony Brook,USA
"Statistic, Seoul National University",South Korea
"Statistical Science, University College London",United Kingdom
"Statistics and Actuarial Science, Simon Fraser University",Canada
"Statistics and Actuarial Science, University of Waterloo",Canada
"Statistics and Data Science, Northwestern University",USA
"Statistics and Data Science, Yonsei University",South Korea
"Statistics and Data Sciences, University of Texas at Austin",USA
"Statistics and Operations Research, University of North Carolina, Chapel Hill",USA
"Statistics, North Carolina State University",USA
"Statistics, Pennsylvania State University",USA
"Statistics, Purdue University",USA
"Statistics, Rutgers University",USA
"Statistics, Stanford University",USA
"Statistics, University of California, Berkeley",USA
"Statistics, University of California, Los Angeles",USA
"Statistics, University of Chicago",USA
"Statistics, University of Illinois at Urbana-Champaign",USA
"Statistics, University of North Carolina at Chapel Hill",USA
