Title,Authors,Institutes,Submission Date
Implicit Regularization for Tubal Tensor Factorizations via Gradient Descent,"['Santhosh Karnik', 'Anna Veselovska', 'Mark Iwen', 'Felix Krahmer']","['Mathematics,Northeastern University(northeastern.edu)', 'Technische Universität München(tum.de)', 'Michigan State University(math.msu.edu)', 'Technische Universität München(tum.de)']",October 2024
Algorithm Development in Neural Networks: Insights from the Streaming Parity Task,"['Loek van Rossem', 'Andrew M Saxe']","['Gatsby Computational Neuroscience Unit,University College London, University of London(ucl.ac.uk)', 'Gatsby Computational Neuroscience Unit & Sainsbury Wellcome Centre,University College London, University of London(ucl.ac.uk)']","14 July, 2025"
Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,"['Zhiyuan Yan', 'Jiangming Wang', 'Peng Jin', 'Ke-Yue Zhang', 'Chengchun Liu', 'Shen Chen', 'Taiping Yao', 'Shouhong Ding', 'Baoyuan Wu', 'Li Yuan']","['Peking University(stu.pku.edu.cn)', 'Tencent Youtu Lab(tencent.com)', 'Peking University(pku.edu.cn)', 'Tencent(tencent.com)', 'Peking University(stu.pku.edu.cn)', 'Tencent YouTu Lab(tencent.com)', 'Youtu Lab,Tencent Youtu Lab(tencent.com)', 'Tencent Youtu Lab(tencent.com)', 'The Chinese University of Hong Kong, Shenzhen(cuhk.edu.cn)', 'Shenzhen Graduate School,Peking University(pku.edu.cn)']","23 November, 2024"
Accelerating LLM Inference with Lossless Speculative Decoding Algorithms for Heterogeneous Vocabularies,"['Nadav Timor', 'Jonathan Mamou', 'Daniel Korat', 'Moshe Berchansky', 'Gaurav Jain', 'Oren Pereg', 'Moshe Wasserblat', 'David Harel']","['Computer Science and Applied Mathematics,Weizmann Institute of Science(weizmann.ac.il)', 'Intel Labs(intel.com)', 'Intel Labs,Intel(intel.com)', 'Intel(intel.com)', 'd-Matrix(d-matrix.ai)', 'Intel(intel.com)', 'Intel(intel.com)', 'Weizmann Institute of Science(weizmann.ac.il)']","31 January, 2025"
LLM-SRBench: A New Benchmark for Scientific Equation Discovery with Large Language Models,"['Parshin Shojaee', 'Ngoc-Hieu Nguyen', 'Kazem Meidani', 'Amir Barati Farimani', 'Khoa D Doan', 'Chandan K. Reddy']","['Virginia Polytechnic Institute and State University(vt.edu)', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","14 April, 2025"
ConceptAttention: Diffusion Transformers Learn Highly Interpretable Features,"['Alec Helbling', 'Tuna Han Salih Meral', 'Benjamin Hoover', 'Pinar Yanardag', 'Duen Horng Chau']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","6 February, 2025"
Emergence in non-neural models: grokking modular arithmetic via average gradient outer product,"['Neil Rohit Mallinar', 'Daniel Beaglehole', 'Libin Zhu', 'Adityanarayanan Radhakrishnan', 'Parthe Pandit', 'Mikhail Belkin']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","29 July, 2024"
Hierarchical Refinement: Optimal Transport to Infinity and Beyond,"['Peter Halmos', 'Julian Gold', 'Xinhao Liu', 'Benjamin Raphael']","['Not Found', 'Not Found', 'Not Found', 'Not Found']","4 March, 2025"
"Train for the Worst, Plan for the Best: Understanding Token Ordering in Masked Diffusions","['Jaeyeon Kim', 'Kulin Shah', 'Vasilis Kontonis', 'Sham M. Kakade', 'Sitan Chen']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","10 February, 2025"
Statistical Test for Feature Selection Pipelines by Selective Inference,"['Tomohiro Shiraishi', 'Tatsuya Matsukawa', 'Shuichi Nishino', 'Ichiro Takeuchi']","['Not Found', 'Not Found', 'Not Found', 'Not Found']","27 June, 2024"
All-Purpose Mean Estimation over R: Optimal Sub-Gaussianity with Outlier Robustness and Low Moments Performance,"['Jasper C.H. Lee', 'Walter McKelvie', 'Maoyuan Song', 'Paul Valiant']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
SWE-Lancer: Can Frontier LLMs Earn $1 Million from Real-World Freelance Software Engineering?,"['Samuel Miserendino', 'Michele Wang', 'Tejal Patwardhan', 'Johannes Heidecke']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
Training a Generally Curious Agent,"['Fahim Tajwar', 'Yiding Jiang', 'Abitha Thankaraj', 'Sumaita Sadia Rahman', 'J Zico Kolter', 'Jeff Schneider', 'Russ Salakhutdinov']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","24 February, 2025"
High-Dimensional Prediction for Sequential Decision Making,"['Georgy Noarov', 'Ramya Ramalingam', 'Aaron Roth', 'Stephan Xie']","['Not Found', 'Not Found', 'Not Found', 'Not Found']","26 October, 2023"
EmbodiedBench: Comprehensive Benchmarking Multi-modal Large Language Models for Vision-Driven Embodied Agents,"['Rui Yang', 'Hanyang Chen', 'Junyu Zhang', 'Mark Zhao', 'Cheng Qian', 'Kangrui Wang', 'Qineng Wang', 'Teja Venkat Koripella', 'Marziyeh Movahedi', 'Manling Li', 'Heng Ji', 'Huan Zhang', 'Tong Zhang']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","13 February, 2025"
Auditing $f$-differential privacy in one run,"['Saeed Mahloujifar', 'Luca Melis', 'Kamalika Chaudhuri']","['Not Found', 'Not Found', 'Not Found']",October 2024
