Title,Authors_Institutes,Submission Date
Anomaly Detection with Score Distribution Discrimination,"Minqi Jiang (Shanghai University of Finance and Economics), Songqiao Han (Shanghai University of Finance and Economics), Hailiang Huang (Shanghai University of Finance and Economics)",June 2023
Data-Efficient and Interpretable Tabular Anomaly Detection,"Chun-Hao Chang (Meta), Jinsung Yoon (Google Cloud AI), Sercan Arik (Google Cloud AI), Madeleine Udell (Stanford University), Tomas Pfister (Google Cloud AI)","3 March, 2022"
DCdetector: Dual Attention Contrastive Representation Learning for Time Series Anomaly Detection,"Yiyuan Yang (University of Oxford), Chaoli Zhang (Alibaba Group), Tian Zhou (Alibaba Group), Qingsong Wen (Alibaba Group), Liang Sun (Alibaba Group)","17 June, 2023"
Deep Weakly-Supervised Anomaly Detection,"Guansong Pang (Singapore Management University), Chunhua Shen (Zhejiang University), Huidong Jin (Data61), Anton van den Hengel (University of Adelaide)","29 October, 2019"
Learning from Positive and Unlabeled Multi-Instance Bags in Anomaly Detection,"Lorenzo Perini (KU Leuven), Vincent Vercruyssen (KU Leuven), Jesse Davis (KU Leuven)",Not Found
Precursor-of-Anomaly Detection for Irregular Time Series,"Sheo yon Jhin (Yonsei University), Jaehoon Lee (LG AI Research; Yonsei University), Noseong Park (Yonsei University)","27 June, 2023"
MSSRNet: Manipulating Sequential Style Representation for Unsupervised Text Style Transfer,"Yazheng Yang (The University of Hong Kong), Zhou Zhao (Zhejiang University), Qi Liu (The University of Hong Kong)",June 2023
CLUR: Uncertainty Estimation for Few-Shot Text Classification with Contrastive Learning,"Jianfeng He (Virginia Tech), Xuchao Zhang (Microsoft), Shuo Lei (Virginia Tech), Abdulaziz Alhamadani (Virginia Tech), Fanglan Chen (Virginia Tech), Bei Xiao (American University), Chang-Tien Lu (Virginia Tech)",Not Found
MetricPrompt: Prompting Model as a Relevance Metric for Few-Shot Text Classification,"Hongyuan Dong (Harbin Institute of Technology), Weinan Zhang (Harbin Institute of Technology), Wanxiang Che (Harbin Institute of Technology)",June 2023
Neural-Hidden-CRF: A Robust Weakly-Supervised Sequence Labeler,"Zhijun Chen (Beihang University), Hailong Sun (Beihang University), Wanhao Zhang (Tsinghua University), Chunyi Xu (Beihang University), Qianren Mao (Zhongguancun Laboratory), Pengpeng Chen (China’s Aviation System Engineering Research Institute)","10 September, 2023"
