Title,Authors,Institutes,Submission Date
Proving Test Set Contamination in Black-Box Language Models,"['Yonatan Oren', 'Nicole Meister', 'Niladri S. Chatterji', 'Faisal Ladhak', 'Tatsunori Hashimoto']","['Not Found', 'EE,Stanford University(stanford.edu)', 'Stanford University(stanford.edu)', 'NVIDIA(nvidia.com)', 'Stanford University(stanford.edu)']","26 October, 2023"
BooookScore: A systematic exploration of book-length summarization in the era of LLMs,"['Yapei Chang', 'Kyle Lo', 'Tanya Goyal', 'Mohit Iyyer']","['Computer Science,University of Maryland, College Park(umd.edu)', 'Allen Institute for Artificial Intelligence(allenai.org)', 'Computer Science,Cornell University(cornell.edu)', 'University of Maryland, College Park(umd.edu)']","1 October, 2023"
Generalization in diffusion models arises from geometry-adaptive harmonic representations,"['Zahra Kadkhodaie', 'Florentin Guth', 'Eero P Simoncelli', 'Stéphane Mallat']","['CCN,Flatiron Institute(flatironinstitute.org)', 'New York University(nyu.edu)', 'New York University(nyu.edu)', 'College de France(college-de-france.fr)']","3 October, 2023"
Understanding In-Context Learning in Transformers and LLMs by Learning to Learn Discrete Functions,"['Satwik Bhattamishra', 'Arkil Patel', 'Phil Blunsom', 'Varun Kanade']","['University of Oxford(ox.ac.uk)', 'Mila - Quebec AI Institute(mila.quebec)', 'Cohere(cohere.com)', 'University of Oxford(ox.ac.uk)']",October 2023
The mechanistic basis of data dependence and abrupt learning in an in-context classification task,['Gautam Reddy'],['Not Found'],December 2023
Improved Techniques for Training Consistency Models,"['Yang Song', 'Prafulla Dhariwal']","['Meta Superintelligence Labs,Meta(meta.com)', 'OpenAI(openai.com)']","3 February, 2025"
Provable Compositional Generalization for Object-Centric Learning,"['Thaddäus Wiedemer', 'Jack Brady', 'Alexander Panfilov', 'Attila Juhos', 'Matthias Bethge', 'Wieland Brendel']","['Eberhard-Karls-Universität Tübingen(uni-tuebingen.de)', 'Intelligent Systems,Max-Planck Institute(mpg.de)', 'Max-Planck Institute for Intelligent Systems(mpg.tuebingen.de)', 'Max-Planck Institute for Intelligent Systems(mpg.tuebingen.de)', 'Tübingen AI Center,University of Tuebingen(uni-tuebingen.de)', 'ELLIS Institute Tübingen(tue.ellis.eu)']","8 October, 2023"
Predictive auxiliary objectives in deep RL mimic learning in the brain,"['Ching Fang', 'Kim Stachenfeld']","['Neurobiology & Behavior,Columbia University(columbia.edu)', 'Neuroscience,Columbia University(columbia.edu)']","9 October, 2023"
Pre-Training Goal-based Models for Sample-Efficient Reinforcement Learning,"['Haoqi Yuan', 'Zhancun Mu', 'Feiyang Xie', 'Zongqing Lu']","['Peking University(pku.edu.cn)', 'Yuanpei College,Peking University(pku.edu.cn)', 'Yuanpei College,Peking University(pku.edu.cn)', 'Not Found']",Not Found
"Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!","['Xiangyu Qi', 'Yi Zeng', 'Tinghao Xie', 'Pin-Yu Chen', 'Ruoxi Jia', 'Prateek Mittal', 'Peter Henderson']","['Princeton University(princeton.edu)', 'Virginia Tech(vt.edu)', 'Electrical and Computer Engineering,Princeton University(princeton.edu)', 'International Business Machines(ibm.com)', 'Virginia Tech(vt.edu)', 'Princeton University(princeton.edu)', 'Princeton University(princeton.edu)']",October 2023
Never Train from Scratch: Fair Comparison of Long-Sequence Models Requires Data-Driven Priors,"['Ido Amos', 'Jonathan Berant', 'Ankit Gupta']","['Not Found', 'Google(google.com)', 'International Business Machines(ibm.com)']","4 October, 2023"
LoftQ: LoRA-Fine-Tuning-aware Quantization for Large Language Models,"['Yixiao Li', 'Yifan Yu', 'Chen Liang', 'Nikos Karampatziakis', 'Pengcheng He', 'Weizhu Chen', 'Tuo Zhao']","['Industrial and Systems Engineering,Georgia Institute of Technology(gatech.edu)', 'University of Illinois at Urbana-Champaign(illinois.edu)', 'Microsoft(microsoft.com)', 'Microsoft(microsoft.com)', 'Microsoft(microsoft.com)', 'Microsoft GenAI(microsoft.com)', 'Georgia Institute of Technology(gatech.edu)']","12 October, 2023"
Graph Neural Networks for Learning Equivariant Representations of Neural Networks,"['Miltiadis Kofinas', 'Boris Knyazev', 'Yan Zhang', 'Yunlu Chen', 'Gertjan J. Burghouts', 'Efstratios Gavves', 'Cees G. M. Snoek', 'David W. Zhang']","['Vrije Universiteit Amsterdam(vu.nl)', 'Samsung(samsung.com)', 'Samsung - SAIT AI Lab, Montreal(samsung.com)', 'Not Found', 'Intelligent Imaging,TNO(tno.nl)', 'University of Amsterdam(uva.nl)', 'University of Amsterdam(uva.nl)', 'Facebook(meta.com)']","18 March, 2024"
GNNCert: Deterministic Certification of Graph Neural Networks against Adversarial Perturbations,"['zaishuo xia', 'Han Yang', 'Binghui Wang', 'Jinyuan Jia']","['Computer Science,University of California, Davis(ucdavis.edu)', 'Sichuan University(scu.edu.cn)', 'Illinois Institute of Technology(iit.edu)', 'College of IST,Pennsylvania State University(psu.edu)']",Not Found
Efficient Episodic Memory Utilization of Cooperative Multi-Agent Reinforcement Learning,"['Hyungho Na', 'Yunkyeong Seo', 'Il-chul Moon']","['Not Found', 'Korea Advanced Institute of Science & Technology(kaist.ac.kr)', 'Not Found']","2 March, 2024"
ClimODE: Climate and Weather Forecasting with Physics-informed Neural ODEs,"['Yogesh Verma', 'Markus Heinonen', 'Vikas Garg']","['Aalto University(aalto.fi)', 'Aalto University(aalto.fi)', 'Not Found']",April 2024
Mixed-Type Tabular Data Synthesis with Score-based Diffusion in Latent Space,"['Hengrui Zhang', 'Jiani Zhang', 'Zhengyuan Shen', 'Balasubramaniam Srinivasan', 'Xiao Qin', 'Christos Faloutsos', 'Huzefa Rangwala', 'George Karypis']","['Computer Science,University of Illinois, Chicago(uic.edu)', 'AWS(amazon.com)', 'AWS,Amazon(amazon.com)', 'Amazon(amazon.com)', 'Amazon(amazon.com)', 'Amazon(amazon.com)', 'Amazon(amazon.com)', 'University of Minnesota, Minneapolis(umn.edu)']","14 October, 2023"
Phenomenal Yet Puzzling: Testing Inductive Reasoning Capabilities of Language Models with Hypothesis Refinement,"['Linlu Qiu', 'Liwei Jiang', 'Ximing Lu', 'Melanie Sclar', 'Valentina Pyatkin', 'Chandra Bhagavatula', 'Bailin Wang', 'Yoon Kim', 'Yejin Choi', 'Nouha Dziri', 'Xiang Ren']","['Massachusetts Institute of Technology(mit.edu)', 'University of Washington(washington.edu)', 'Department of Computer Science,University of Washington(cs.washington.edu)', 'Facebook(meta.com)', 'Not Found', 'Allen Institute for Artificial Intelligence(allenai.org)', 'Apple(apple.com)', 'Massachusetts Institute of Technology(mit.edu)', 'Computer Science,Computer Science Department, Stanford University(cs.stanford.edu)', 'Not Found', 'Computer Science,University of Southern California(usc.edu)']","12 October, 2023"
Beyond Weisfeiler-Lehman: A Quantitative Framework for GNN Expressiveness,"['Bohang Zhang', 'Jingchu Gai', 'Yiheng Du', 'Qiwei Ye', 'Di He', 'Liwei Wang']","['Peking University(pku.edu.cn)', 'Machine Learning Department,School of Computer Science, Carnegie Mellon University(cs.cmu.edu)', 'Peking University(pku.edu.cn)', 'Beijing Academy of Artificial Intelligence(baai.ac.cn)', 'Peking University(pku.edu.cn)', 'Peking University(pku.edu.cn)']",January 2024
