Title,Authors,Institutes,Submission Date
Smoothing the Landscape Boosts the Signal for SGD: Optimal Sample Complexity for Learning Single Index Models,"['Alex Damian', 'Eshaan Nichani', 'Rong Ge', 'Jason D. Lee']","['Not Found', 'Princeton University(princeton.edu)', 'Duke University(duke.edu)', 'Princeton University(princeton.edu)']",May 2023
Toolformer: Language Models Can Teach Themselves to Use Tools,"['Timo Schick', 'Jane Dwivedi-Yu', 'Roberto Dessi', 'Roberta Raileanu', 'Maria Lomeli', 'Eric Hambro', 'Luke Zettlemoyer', 'Nicola Cancedda', 'Thomas Scialom']","['Facebook(fb.com)', 'Meta AI(meta.com)', 'Samaya AI(samaya.ai)', 'Facebook(fb.com)', 'FAIR,Meta(meta.com)', 'Anthropic(anthropic.com)', 'University of Washington(cs.washington.edu)', 'Not Found', 'LIP6(lip6.fr)']",February 2023
Cinematic Mindscapes: High-quality Video Reconstruction from Brain Activity,"['Zijiao Chen', 'Jiaxin Qing', 'Juan Helen Zhou']","['National University of Singaore, National University of Singapore(u.nus.edu)', 'Biostastics,University of California, Berkeley(berkeley.edu)', 'Yong Loo Lin School of Medicine,National University of Singapore(nus.edu.sg)']",May 2023
Private Everlasting Prediction,"['Moni Naor', 'Kobbi Nissim', 'Uri Stemmer', 'Chao Yan']","['Not Found', 'Computer Science,Georgetown University(georgetwon.edu)', 'Tel Aviv University(tau.ac.il)', 'Georgetown University(cs.georgetown.edu)']",January 2024
ToolkenGPT: Augmenting Frozen Language Models with Massive Tools via Tool Embeddings,"['Shibo Hao', 'Tianyang Liu', 'Zhen Wang', 'Zhiting Hu']","['University of California, San Diego(ucsd.edu)', 'Department of Computer Science and Engineering,University of California, San Diego(ucsd.edu)', 'University of California, San Diego(ucsd.edu)', 'University of California, San Diego(ucsd.edu)']","19 May, 2023"
Visual Instruction Tuning,"['Haotian Liu', 'Chunyuan Li', 'Qingyang Wu', 'Yong Jae Lee']","['Department of Computer Science, University of Wisconsin - Madison(cs.wisc.edu)', 'Microsoft Research(microsoft.com)', 'Together AI(together.ai)', 'Department of Computer Sciences,University of Wisconsin - Madison(cs.wisc.edu)']",October 2025
A Single-Loop Accelerated Extra-Gradient Difference Algorithm with Improved Complexity Bounds for Constrained Minimax Optimization,"['Yuanyuan Liu', 'Fanhua Shang', 'Weixin An', 'Junhao Liu', 'Hongying Liu', 'Zhouchen Lin']","['AI,Xidian University(xidian.edu.cn)', 'Tianjin University(tju.edu.cn)', 'Xidian University, Tsinghua University(xidian.edu.cn)', ""Xi'an University of Electronic Science and Technology(xidian.edu.cn)"", 'Tianjin University(tju.edu.cn)', 'School of Intelligence Science and Technology,Peking University(pku.edu.cn)']",Not Found
Evaluating Post-hoc Explanations for Graph Neural Networks via Robustness Analysis,"['Junfeng Fang', 'Wei Liu', 'Yuan Gao', 'Zemin Liu', 'An Zhang', 'Xiang Wang', 'Xiangnan He']","['National University of Singapore(nus.edu.sg)', 'University of Science and Technology of China(ustc.edu.cn)', 'Alibaba Group(alibaba-inc.com)', 'College of Computer Science and Technology,Zhejiang University(zju.edu.cn)', 'University of Science and Technology of China(ustc.edu.cn)', 'University of Science and Technology of China(ustc.edu.cn)', 'University of Science and Technology of China(ustc.edu.cn)']",Not Found
Towards Revealing the Mystery behind Chain of Thought: A Theoretical Perspective,"['Guhao Feng', 'Bohang Zhang', 'Yuntian Gu', 'Haotian Ye', 'Di He', 'Liwei Wang']","['Peking University(pku.edu.cn)', 'Peking University(pku.edu.cn)', 'Peking University(pku.edu.cn)', 'Stanford University(stanford.edu)', 'Peking University(pku.edu.cn)', 'Peking University(pku.edu.cn)']","24 May, 2023"
Exact Bayesian Inference on Discrete Models via Probability Generating Functions: A Probabilistic Programming Approach,"['Fabian Zaiser', 'Andrzej S Murawski', 'Luke Ong']","['Department of Brain and Cognitive Sciences,Massachusetts Institute of Technology(mit.edu)', 'Not Found', 'Department of Computer Science,Nanyang Technological University(ntu.edu.sg)']","26 May, 2023"
