Title,Authors,Institutes,Submission Date
On Discrete Prompt Optimization for Diffusion Models,"['Ruochen Wang', 'Ting Liu', 'Cho-Jui Hsieh', 'Boqing Gong']","['University of California, Los Angeles(ucla.edu)', 'Google DeepMind(google.com)', 'Google(google.com)', 'Boston University, Boston University(bu.edu)']",July 2024
Multi-View Clustering by Inter-cluster Connectivity Guided Reward,"['Hao Dai', 'Yang Liu', 'Peng Su', 'Hecheng Cai', 'Shudong Huang', 'Jiancheng Lv']","['College of Computer Science,Sichuan University(en.scu.edu.cn)', 'College of Computer Science,Sichuan University(scu.edu.cn)', 'Sichuan University(scu.edu.cn)', 'Sichuan University(scu.edu.cn)', 'College of Computer Science,Sichuan University(scu.edu.cn)', 'Sichuan University(scu.edu.cn)']",Not Found
"Overestimation, Overfitting, and Plasticity in Actor-Critic: the Bitter Lesson of Reinforcement Learning","['Michal Nauman', 'Michał Bortkiewicz', 'Piotr Miłoś', 'Tomasz Trzcinski', 'Mateusz Ostaszewski', 'Marek Cygan']","['University of Warsaw(mimuw.edu.pl)', 'Warsaw University of Technology(pw.edu.pl)', 'Polish Academy of Science(impan.gov.pl)', 'Institute of Computer Science,Warsaw University of Technology(pw.edu.pl)', 'Not Found', 'University of Warsaw(mimuw.edu.pl)']","1 March, 2024"
Copyright Traps for Large Language Models,"['Matthieu Meeus', 'Igor Shilov', 'Manuel Faysse', 'Yves-Alexandre de Montjoye']","['Imperial College London(imperial.ac.uk)', 'Imperial College London(imperial.ac.uk)', 'Facebook(meta.com)', 'Not Found']","14 February, 2024"
Implicit meta-learning may lead language models to trust more reliable sources,"['Dmitrii Krasheninnikov', 'Egor Krasheninnikov', 'Bruno Kacper Mlodozeniec', 'Tegan Maharaj', 'David Krueger']","['University of Cambridge(cam.ac.uk)', 'Amazon(amazon.co.uk)', 'University of Cambridge(cam.ac.uk)', 'Toronto University(utoronto.ca)', 'Montreal Institute for Learning Algorithms, University of Montreal, Université de Montréal(mila.umontreal.ca)']","23 October, 2023"
Dr. Strategy: Model-Based Generalist Agents with Strategic Dreaming,"['Hany Hamed', 'Subin Kim', 'Dongyeong Kim', 'Jaesik Yoon', 'Sungjin Ahn']","['University of Alberta(ualberta.ca)', 'Korea Advanced Institute of Science & Technology(kaist.edu)', 'School of Computing,Korea Advanced Institute of Science & Technology(kaist.ac.kr)', 'Korea Advanced Institute of Science and Technology(kaist.ac.kr)', 'Not Found']","29 February, 2024"
When Will Gradient Regularization Be Harmful?,"['Yang Zhao', 'Hao Zhang', 'Xiuyuan Hu']","['Tsinghua University, Tsinghua University(tsinghua.edu.cn)', 'Tsinghua University, Tsinghua University(tsinghua.edu.cn)', 'Tsinghua University(tsinghua.edu.cn)']",Not Found
Efficient Algorithms for Empirical Group Distributionally Robust Optimization and Beyond,"['Dingzhi Yu', 'Yunuo Cai', 'Wei Jiang', 'Lijun Zhang']","['National Key Laboratory for Novel Software Technology,Nanjing University(nju.edu.cn)', 'Fudan University(fudan.edu.cn)', 'Nanjing University(nju.edu.cn)', 'Not Found']","6 March, 2024"
Evaluation of Trajectory Distribution Predictions with Energy Score,"['Novin Shahroudi', 'Mihkel Lepson', 'Meelis Kull']","['Institute of Computer Science,University of Tartu(ut.ee)', 'institute of computer science, University of Tartu(cs.ut.ee)', 'Institute of Computer Science,University of Tartu(ut.ee)']",Not Found
Causal Discovery with Fewer Conditional Independence Tests,"['Kirankumar Shiragur', 'Jiaqi Zhang', 'Caroline Uhler']","['Microsoft Research(microsoft.com)', 'Broad Institute(broadinstitute.org)', 'Electrical Engineering & Computer Science, Massachusetts Institute of Technology(eecs.mit.edu)']",June 2024
