Title,Authors,Institutes,Submission Date
Beyond Random Masking: When Dropout meets Graph Convolutional Networks,"['Yuankai Luo', 'Xiao-Ming Wu', 'Hao Zhu']","['Hong Kong Polytechnic University(polyu.edu.hk)', 'Hong Kong Polytechnic University(polyu.edu.hk)', 'Not Found']",Not Found
Self-supervised contrastive learning performs non-linear system identification,"['Rodrigo González Laiz', 'Tobias Schmidt', 'Steffen Schneider']","['Helmholtz Zentrum München(helmholtz-munich.de)', 'Institute of Computational Biology,Helmholtz Zentrum München(helmholtz-munich.de)', 'Helmholtz Zentrum München(helmholtz-munich.de)']","18 October, 2024"
Sparse autoencoders reveal selective remapping of visual concepts during adaptation,"['Hyesu Lim', 'Jinho Choi', 'Jaegul Choo', 'Steffen Schneider']","['KAIST AI,Korea Advanced Institute of Science & Technology(kaist.ac.kr)', 'KAIST(kaist.ac.kr)', 'Graduate School of AI,Korea Advanced Institute of Science and Technology(kaist.ac.kr)', 'Helmholtz Zentrum München(helmholtz-munich.de)']","6 December, 2024"
PIED: Physics-Informed Experimental Design for Inverse Problems,"['Apivich Hemachandra', 'Gregory Kang Ruey Lau', 'See-Kiong Ng', 'Bryan Kian Hsiang Low']","['National University of Singapore(nus.edu)', 'Physics, Economics,National University of Singapore(u.nus.edu)', 'School of Computing,National University of Singapore(nus.edu.sg)', 'Computer Science,National University of Singapore(nus.edu.sg)']",March 2025
AgentRefine: Enhancing Agent Generalization through Refinement Tuning,"['Dayuan Fu', 'Keqing He', 'Yejie Wang', 'Wentao Hong', 'Zhuoma GongQue', 'Weihao Zeng', 'Wei Wang', 'Jingang Wang', 'Xunliang Cai', 'Weiran Xu']","['Artificial Intelligence,Beijing University of Posts and Telecommunications(bupt.edu.cn)', 'Meituan Group(meituan.com)', 'Moonshot AI(moonshot.cn)', 'Beijing University of Posts and Telecommunications(bupt.edu.cn)', 'Beijing University of Posts and Telecommunications(bupt.edu.cn)', 'CSE,Hong Kong University of Science and Technology(hkust.edu)', 'Meituan(meituan.com)', 'Meituan(meituan.com)', 'Meituan(meituan.com)', 'College of Artificial Intelligence,Beijing University of Post and Telecommunication(bupt.edu.cn)']","3 January, 2025"
TabM: Advancing tabular deep learning with parameter-efficient ensembling,"['Yury Gorishniy', 'Akim Kotelnikov', 'Artem Babenko']","['Moscow Institute of Physics and Technology(phystech.edu)', 'Yandex(yandex-team.ru)', 'Yandex Technologies,Yandex(yandex-team.ru)']","31 October, 2024"
Multi-Label Test-Time Adaptation with Bound Entropy Minimization,"['Xiangyu Wu', 'Feng Yu', 'Yang Yang', 'Qing-Guo Chen', 'Jianfeng Lu']","['Nanjing University of Science and Technology(njust.edu.cn)', 'Xuanwu,Nanjing University of Science and Technology(njust.edu.cn)', 'Nanjing University of Science and Technology(njust.edu.cn)', 'AI Business,Alibaba Group(alibaba-inc.com)', 'school of computer  science,Nanjing university of Science & Technology(njust.edu.cn)']",February 2025
ToolGen: Unified Tool Retrieval and Calling via Generation,"['Renxi Wang', 'Xudong Han', 'Lei Ji', 'Shu Wang', 'Timothy Baldwin', 'Haonan Li']","['Mohamed bin Zayed University of Artificial Intelligence(mbzuai.ac.ae)', 'Mohamed bin Zayed University of Artificial Intelligence(mbzuai.ac.ae)', 'Multimodal,Research, Microsoft(research.microsoft.com)', 'University of California, Los Angeles(ucla.edu)', 'Mohamed bin Zayed University of Artificial Intelligence(mbzuai.ac.ae)', 'Institute of Foundation Models,Mohamed bin Zayed University of Artificial Intelligence(mbzuai.ac.ae)']","4 October, 2024"
Activation Gradient based Poisoned Sample Detection Against Backdoor Attacks,"['Danni Yuan', 'Mingda Zhang', 'Shaokui Wei', 'Li Liu', 'Baoyuan Wu']","['The Chinese University of HongKong, Shenzhen(cuhk.edu.cn)', 'The Chinese University of Hong Kong, Shenzhen(cuhk.edu.cn)', 'SDS,The Chinese University of Hong Kong, Shenzhen(cuhk.edu.cn)', 'AI Thrust,The Hong Kong University of Science and Technology (Guangzhou)(hkust-gz.edu.cn)', 'The Chinese University of Hong Kong, Shenzhen(cuhk.edu.cn)']","11 December, 2023"
Causally Motivated Sycophancy Mitigation for Large Language Models,"['Haoxi Li', 'Xueyang Tang', 'Jie ZHANG', 'Song Guo', 'Sikai Bai', 'Peiran Dong', 'Yue Yu']","['CSE,The Hong Kong University of Science and Technology(hkust.edu.hk)', 'The Hong Kong Polytechnic University(polyu.edu.hk)', 'Computer Science and Engineering,Hong Kong University of Science and Technology(ust.hk)', 'Department of Computer Science and Engineering, Hong Kong University of Science and Technology(cse.ust.hk)', 'The Hong Kong University of Science and Technology(hkust.edu.hk)', 'Department of Computing,Hong Kong Polytechnic University(polyu.edu.hk)', 'University of California, Davis(ucdavis.edu)']",Not Found
