Title,Authors,Institutes,Submission Date
Defending Against Patch-Based Backdoor Attacks on Self-Supervised Learning,"['Ajinkya Tejankar', 'Maziar Sanjabi', 'Qifan Wang', 'Sinong Wang', 'Hamed Firooz', 'Hamed Pirsiavash', 'Liang Tan']","['University of California, Davis', 'Facebook', 'Meta AI', 'Facebook', 'Facebook', 'University of California, Davis', 'Tulane University']",April 2023
Gradient-Based Uncertainty Attribution for Explainable Bayesian Deep Learning,"['Hanjing Wang', 'Dhiraj Joshi', 'Shiqiang Wang', 'Qiang Ji']","['Rensselaer Polytechnic Institute', 'IBM Research', 'IBM Research', 'Rensselaer Polytechnic Institute']",April 2023
Learning Neural Parametric Head Models,"['Simon Giebenhain', 'Tobias Kirschstein', 'Markos Georgopoulos', 'Martin Rünz', 'Lourdes Agapito', 'Matthias Nießner']","['Technische Universität München', 'Department of Informatics, Technische Universität München', 'Synthesia', 'Synthesia', 'University College London', 'Technical University of Munich']","6 December, 2022"
Delivering Arbitrary-Modal Semantic Segmentation,"['Jiaming Zhang', 'Ruiping Liu', 'Hao Shi', 'Kailun Yang', 'Simon Reiß', 'Kunyu Peng', 'Haodong Fu', 'Kaiwei Wang', 'Rainer Stiefelhagen']","[None, 'Karlsruher Institut für Technologie', 'Zhejiang University', 'Karlsruher Institut für Technologie', None, 'KIT', 'Beijing University of Aeronautics and Astronautics', 'Zhejiang University', 'Karlsruhe Institute of Technology']",March 2023
High-Fidelity 3D Human Digitization From Single 2K Resolution Images,"['Sang-Hun Han', 'Min-Gyu Park', 'Ju Hong Yoon', 'Ju-Mi Kang', 'Young-Jae Park', 'Hae-Gon Jeon']","[None, 'Korea Electronics Technology Institute', 'Korea Electronics Technology Institute', 'Korea Electronics Technology Institute', None, None]",March 2023
Panoptic Video Scene Graph Generation,"['Jingkang Yang', 'Wenxuan Peng', 'Xiangtai Li', 'Zujin Guo', 'Liangyu Chen', 'Bo Li', 'Zheng Ma', 'Kaiyang Zhou', 'Wayne Zhang', 'Chen Change Loy', 'Ziwei Liu']","['Nanyang Technological University', 'Nanyang Technological University', 'Nanyang Technological University', 'Nanyang Technological University', 'Nanyang Technological University', 'Nanyang Technological University', 'SenseTime Research', None, 'SenseTime Research', 'NANYANG TECHNOLOGICAL UNIVERSITY', 'Nanyang Technological University']",November 2023
FFCV: Accelerating Training by Removing Data Bottlenecks,"['Guillaume Leclerc', 'Andrew Ilyas', 'Logan Engstrom', 'Sung Min Park', 'Hadi Salman', 'Aleksander Mądry']","['Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'MIT', 'Massachusetts Institute of Technology']",June 2023
A Data-Based Perspective on Transfer Learning,"['Saachi Jain', 'Hadi Salman', 'Alaa Khaddaj', 'Eric Wong', 'Sung Min Park', 'Aleksander Mądry']","['Massachusetts Institute of Technology', 'MIT', 'Massachusetts Institute of Technology', 'University of Pennsylvania', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology']",July 2022
GLIGEN: Open-Set Grounded Text-to-Image Generation,"['Yuheng Li', 'Haotian Liu', 'Qingyang Wu', 'Fangzhou Mu', 'Jianwei Yang', 'Jianfeng Gao', 'Chunyuan Li', 'Yong Jae Lee']","['University of Wisconsin - Madison', 'University of Wisconsin-Madison', 'Columbia University', 'University of Wisconsin, Madison', 'Microsoft Research', 'Microsoft Research', 'Microsoft Research, Redmond', 'Department of Computer Sciences, University of Wisconsin - Madison']","17 January, 2023"
Patch-Craft Self-Supervised Training for Correlated Image Denoising,"['Gregory Vaksman', 'Michael Elad']","['Technion, Technion', 'Computer Science Departmen, Technion-Israel Institute of Technology']",November 2022
Co-Salient Object Detection With Uncertainty-Aware Group Exchange-Masking,"['Yang Wu', 'Huihui Song', 'Bo Liu', 'Kaihua Zhang', 'Dong Liu']","['Nanjing University of Information Science and Technology', 'Nanjing University of Information Science and Technology', 'Rutgers University', 'NUIST', 'NetFlix']",October 2023
GamutMLP: A Lightweight MLP for Color Loss Recovery,"['Hoang M. Le', 'Brian Price', 'Scott Cohen', 'Michael S. Brown']","['York University', 'Adobe Research', 'Adobe Systems', 'Samsung / York']",April 2023
ReDirTrans: Latent-to-Latent Translation for Gaze and Head Redirection,"['Shiwei Jin', 'Zhen Wang', 'Lei Wang', 'Ning Bi', 'Truong Nguyen']","[None, 'Qualcomm Technologies, Inc.', 'Qualcomm', 'QualComm', 'University of California, San Diego']",May 2023
Is BERT Blind? Exploring the Effect of Vision-and-Language Pretraining on Visual Language Understanding,"['Morris Alper', 'Michael Fiman', 'Hadar Averbuch-Elor']","['Tel Aviv University', 'Tel Aviv University', 'Tel Aviv University']",Not Found
Why Is the Winner the Best?,"['Matthias Eisenmann', 'Annika Reinke', 'Vivienn Weru', 'Minu D. Tizabi', 'Fabian Isensee', 'Tim J. Adler', 'Sharib Ali', 'Vincent Andrearczyk', 'Marc Aubreville', 'Ujjwal Baid', 'Spyridon Bakas', 'Niranjan Balu', 'Sophia Bano', 'Jorge Bernal', 'Sebastian Bodenstedt', 'Alessandro Casella', 'Veronika Cheplygina', 'Marie Daum', 'Marleen de Bruijne', 'Adrien Depeursinge', 'Reuben Dorent', 'Jan Egger', 'David G. Ellis', 'Sandy Engelhardt', 'Melanie Ganz', 'Noha Ghatwary', 'Gabriel Girard', 'Patrick Godau', 'Anubha Gupta', 'Lasse Hansen', 'Kanako Harada', 'Mattias P. Heinrich', 'Nicholas Heller', 'Alessa Hering', 'Arnaud Huaulmé', 'Pierre Jannin', 'Ali Emre Kavur', 'Oldřich Kodym', 'Michal Kozubek', 'Jianning Li', 'Hongwei Li', 'Jun Ma', 'Carlos Martín-Isla', 'Bjoern Menze', 'Alison Noble', 'Valentin Oreiller', 'Nicolas Padoy', 'Sarthak Pati', 'Kelly Payette', 'Tim Rädsch', 'Jonathan Rafael-Patiño', 'Vivek Singh Bawa', 'Stefanie Speidel', 'Carole H. Sudre', 'Kimberlin van Wijnen', 'Martin Wagner', 'Donglai Wei', 'Amine Yamlahi', 'Moi Hoon Yap', 'Chun Yuan', 'Maximilian Zenk', 'Aneeq Zia', 'David Zimmerer', 'Dogu Baran Aydogan', 'Binod Bhattarai', 'Louise Bloch', 'Raphael Brüngel', 'Jihoon Cho', 'Chanyeol Choi', 'Qi Dou', 'Ivan Ezhov', 'Christoph M. Friedrich', 'Clifton D. Fuller', 'Rebati Raman Gaire', 'Adrian Galdran', 'Álvaro García Faura', 'Maria Grammatikopoulou', 'SeulGi Hong', 'Mostafa Jahanifar', 'Ikbeom Jang', 'Abdolrahim Kadkhodamohammadi', 'Inha Kang', 'Florian Kofler', 'Satoshi Kondo', 'Hugo Kuijf', 'Mingxing Li', 'Minh Luu', 'Tomaž Martinčič', 'Pedro Morais', 'Mohamed A. Naser', 'Bruno Oliveira', 'David Owen', 'Subeen Pang', 'Jinah Park', 'Sung-Hong Park', 'Szymon Plotka', 'Elodie Puybareau', 'Nasir Rajpoot', 'Kanghyun Ryu', 'Numan Saeed', 'Adam Shephard', 'Pengcheng Shi', 'Dejan Štepec', 'Ronast Subedi', 'Guillaume Tochon', 'Helena R. Torres', 'Helene Urien', 'João L. Vilaça', 'Kareem A. Wahid', 'Haojie Wang', 'Jiacheng Wang', 'Liansheng Wang', 'Xiyue Wang', 'Benedikt Wiestler', 'Marek Wodzinski', 'Fangfang Xia', 'Juanying Xie', 'Zhiwei Xiong', 'Sen Yang', 'Yanwu Yang', 'Zixuan Zhao', 'Klaus Maier-Hein', 'Paul F. Jäger', 'Annette Kopp-Schneider', 'Lena Maier-Hein']","['German Cancer Research Center (DKFZ)', 'German Cancer Research Center', 'Deutsches Krebsforschungszentrum', 'Deutsches Krebsforschungszentrum', 'German Cancer Research Center', 'German Cancer Research Center (DKFZ)', 'University of Leeds', 'University of Applied Sciences Western Switzerland, Sierre (HES-SO Valais)', 'Technische Hochschule Ingolstadt', 'University of Pennsylvania, University of Pennsylvania', 'University of Pennsylvania', 'University of Washington', 'University College London, University of London', 'Computer Vision Center & Universitat Autònoma de Barcelona', 'National Center for Tumordiseases, Dresden', 'Politecnico di Milano', 'IT University of Copenhagen', 'Ruprecht-Karls-Universität Heidelberg', 'Erasmus MC', 'University of Applied Sciences Western Switzerland, Sierre (HES-SO Valais)', 'Harvard University', 'University Hospital Essen', 'University of Iowa', 'University Hospital Heidelberg', 'University of Copenhagen', 'Arab Academy for Science & Technology', 'Swiss Federal Institute of Technology Lausanne', 'German Cancer Research Center', 'Indraprastha Institute of Information Technology, Delhi', 'echoscout.ai', 'The University of Tokyo', 'Universität zu Lübeck', 'University of Minnesota', 'Radboud University Medical Center', 'Univ Rennes, INSERM, LTSI - UMR 1099', 'INSERM', 'Dokuz Eylül University', 'Brno University of Technology', 'Masaryk University', 'IKIM', 'University of Zurich', 'Nanjing University of Science and Technology', 'Universitat de Barcelona', 'University of Zurich', 'University of Oxford', 'University of Applied Sciences Western Switzerland, Sierre (HES-SO Valais)', 'University of Strasbourg', 'University of Pennsylvania', 'University of Zurich', 'German Cancer Research Center (DKFZ)', 'CHUV - University Hospital Lausanne', 'Oxford Brookes University', 'National Center for Tumordiseases, Dresden', 'University College London', 'Delft University of Technology', 'Heidelberg University Hospital', 'Boston College', 'Deutsches Krebsforschungszentrum', 'The Manchester Metropolitan University', 'University of Washington, Seattle', 'German Cancer Research Center (DKFZ)', '', 'German Cancer Research Center', 'University of Eastern Finland', 'University of Aberdeen', 'Department of Computer Science, University of Applied Sciences and Arts Dortmund', 'Department of Computer Science, University of Applied Sciences and Arts Dortmund', 'KAIST', 'Massachusetts Institute of Technology', 'The Chinese University of Hong Kong', 'Technical University Munich', 'University of Applied Sciences and Arts Dortmund', 'The University of Texas MD Anderson Cancer Center', 'University of Nebraska-Lincoln', 'Universitat Pompeu Fabra', 'XLAB d.o.o.', 'Medtronic', 'CJ AI Center', 'University of Warwick', 'Massachusetts General Hospital, Harvard Medical School, Hankuk University of Foreign Studies', 'Medtronic PLC', 'Korea Advanced Institute of Science & Technology', 'Helmholtz AI | Technical University Munich', 'Muroran Institute of Technology', 'UMC Utrecht', 'University of Science and Technology of China', 'KAIST', 'University of Ljubljana', 'Instituto Politécnico do Cávado e do Ave', 'The University of Texas MD Anderson Cancer Center', 'Universidade do Minho', 'Medtronic', 'Massachusetts Institute of Technology', 'Korea Advanced Institute of Science and Technology', 'University of Pittsburgh', 'University of Amsterdam', ""Laboratoire de Recherche de l'EPITA"", 'University of Warwick', 'Stanford University', 'Mohamed bin Zayed University of Artificial Intelligence', 'University of Warwick', 'Harbin Institute of Technology (Shenzhen)', 'XLAB', 'Tribhuvan University', ""Ecole Pour l'Informatique et les Techniques Avancees"", 'Instituto Politécnico do Cávado e do Ave', ""Institut Supérieure d'Electronique de Paris"", 'Instituto Politécnico do Cávado e do Ave', 'The University of Texas MD Anderson Cancer Center', 'Xiamen university', 'Xiamen University', 'Xiamen University, Tsinghua University', 'Sichuan University', 'Technical University Munich', 'AGH University of Science and Technology', 'Argonne National Laboratory', 'Shaanxi Normal University', None, 'Sichuan University', 'Harbin Institute of Technology at Shenzhen, China', 'University of Chicago', 'German Cancer Research Center', 'German Cancer Research Center', 'Deutsches Krebsforschungszentrum', 'German Cancer Research Center (DKFZ)']",Not Found
RangeViT: Towards Vision Transformers for 3D Semantic Segmentation in Autonomous Driving,"['Angelika Ando', 'Spyros Gidaris', 'Andrei Bursuc', 'Gilles Puy', 'Alexandre Boulch', 'Renaud Marlet']","['Mines Paris, Université PSL', 'Valeo.ai', 'valeo.ai', 'valeo.ai', 'valeo.ai', 'INRIA']","24 January, 2023"
ZegCLIP: Towards Adapting CLIP for Zero-Shot Semantic Segmentation,"['Ziqin Zhou', 'Yinjie Lei', 'Bowen Zhang', 'Lingqiao Liu', 'Yifan Liu']","[None, None, 'The University of Adelaide', None, None]","7 December, 2022"
MaskSketch: Unpaired Structure-Guided Masked Image Generation,"['Dina Bashkirova', 'José Lezama', 'Kihyuk Sohn', 'Kate Saenko', 'Irfan Essa']","[None, 'Google Research', 'Google', 'Meta / Boston University', 'Georgia Institute of Technology']",February 2023
Video Probabilistic Diffusion Models in Projected Latent Space,"['Sihyun Yu', 'Kihyuk Sohn', 'Subin Kim', 'Jinwoo Shin']","['KAIST', 'Google', 'Korea Advanced Institute of Science & Technology', 'Korea Advanced Institute of Science and Technology']","15 February, 2023"
