Title,Authors_Institutes,Submission Date
On Early Detection of Hallucinations in Factual Question Answering,"Ben Snyder (Amazon Web Services); Marius Moisescu (Amazon Web Services); Muhammad Bilal Zafar (Ruhr-Universität Bochum, Research Center for Trustworthy Data Science and Security, University Alliance Ruhr)","19 December, 2023"
A Hierarchical Context Augmentation Method to Improve Retrieval-Augmented LLMs on Scientific Papers,Tian-Yi Che (Beijing Institute of Technology); Xian-Ling Mao (Beijing Institute of Technology); Tian Lan (Beijing Institute of Technology); Heyan Huang (Beijing Institute of Technology),Not Found
LogParser-LLM: Advancing Efficient Log Parsing with Large Language Models,"Aoxiao Zhong (Harvard University, Alibaba Group); Dengyao Mo (Alibaba Group); Guiyang Liu (Alibaba Group); Jinbu Liu (Alibaba Group); Qingda Lu (Alibaba Group); Qi Zhou (Alibaba Group); Jiesheng Wu (Alibaba Group); Quanzheng Li (Harvard Medical School, Massachusetts General Hospital); Qingsong Wen (Alibaba Group)",August 2024
Efficient Mixture of Experts based on Large Language Models for Low-Resource Data Preprocessing,Mengyi Yan (Beihang University); Yaoshu Wang (Shenzhen Institute of Computing Sciences); Kehan Pang (Beihang University); Xie Min (Shenzhen Institute of Computing Sciences); Jianxin Li (Beihang University),Not Found
Prompt Perturbation in Retrieval-Augmented Generation based Large Language Models,"Zhibo Hu (University of New South Wales, CSIRO Data61); Chen Wang (CSIRO Data61, University of New South Wales); Yanfeng Shu (CSIRO Data61); Hye-Young Paik (University of New South Wales); Liming Zhu (CSIRO Data61, University of New South Wales)","11 February, 2024"
Large Language Model-driven Meta-structure Discovery in Heterogeneous Information Network,"Lin Chen (Hong Kong University of Science and Technology); Fengli Xu (BNRist, Department of Electronic Engineering, Tsinghua University); Nian Li (Shenzhen International Graduate School, Tsinghua University); Zhenyu Han (BNRist, Department of Electronic Engineering, Tsinghua University); Meng Wang (Hefei University of Technology); Yong Li (BNRist, Department of Electronic Engineering, Tsinghua University); Pan Hui (Hong Kong University of Science and Technology (Guangzhou), Hong Kong University of Science and Technology)","18 February, 2024"
From Supervised to Generative: A Novel Paradigm for Tabular Deep Learning with Large Language Models,Xumeng Wen (Microsoft Research Asia); Han Zhang (Tsinghua University); Shun Zheng (Microsoft Research Asia); Wei Xu (Tsinghua University); Jiang Bian (Microsoft Research Asia),"11 October, 2023"
Enhancing On-Device LLM Inference with Historical Cloud-Based LLM Interactions,Yucheng Ding (Shanghai Jiao Tong University); Chaoyue Niu(Shanghai Jiao Tong University); Fan Wu(Shanghai Jiao Tong University); Shaojie Tang(University of Texas at Dallas); Chengfei Lyu(Alibaba Group); Guihai Chen(Shanghai Jiao Tong University),Not Found
Tensorized Unaligned Multi-view Clustering with Multi-scale Representation Learning,"Jintian Ji (Key Laboratory of Big Data & Artificial Intelligence in Transportation (Beijing Jiaotong University), Ministry of Education, School of Computer Science and Technology, Beijing Jiaotong University); Songhe Feng (Key Laboratory of Big Data & Artificial Intelligence in Transportation (Beijing Jiaotong University), Ministry of Education, School of Computer Science and Technology, Beijing Jiaotong University); Yidong Li (Key Laboratory of Big Data & Artificial Intelligence in Transportation (Beijing Jiaotong University), Ministry of Education, School of Computer Science and Technology, Beijing Jiaotong University)",Not Found
Topology-Driven Multi-View Clustering via Tensorial Refined Sigmoid Rank Minimization,"Zhibin Gu (Key Laboratory of Big Data & Artificial Intelligence in Transportation, (Beijing Jiaotong University), Ministry of Education, Beijing Jiaotong University, School of Computer Science and Technology); Zhendong Li (Key Laboratory of Big Data & Artificial Intelligence in Transportation, (Beijing Jiaotong University), Ministry of Education, Beijing Jiaotong University, School of Computer Science and Technology); Songhe Feng (Key Laboratory of Big Data & Artificial Intelligence in Transportation, (Beijing Jiaotong University), Ministry of Education, Beijing Jiaotong University, School of Computer Science and Technology)",Not Found
Resilient k-Clustering,"Sara Ahmadian (Google); MohammadHossein Bateni (Google); Hossein Esfandiari (Google); Silvio Lattanzi (Google); Morteza Monemizadeh (Department of Mathematics and Computer Science, TU Eindhoven); Ashkan Norouzi-Fard (Google)",June 2018
