Title,Authors,Institutes,Submission Date
Splatter Image: Ultra-Fast Single-View 3D Reconstruction,"['Stanislaw Szymanowicz', 'Christian Rupprecht', 'Andrea Vedaldi']","['University of Oxford, University of Oxford', 'University of Oxford', 'University of Oxford']","20 December, 2023"
LowRankOcc: Tensor Decomposition and Low-Rank Recovery for Vision-based 3D Semantic Occupancy Prediction,"['Linqing Zhao', 'Xiuwei Xu', 'Ziwei Wang', 'Yunpeng Zhang', 'Borui Zhang', 'Wenzhao Zheng', 'Dalong Du', 'Jie Zhou', 'Jiwen Lu']","['Tsinghua University', 'Tsinghua University, Tsinghua University', 'Tsinghua University, Tsinghua University', 'PhiGent Robotics', 'Tsinghua University, Tsinghua University', 'Tsinghua University, Tsinghua University', 'PhiGent Robotics', None, 'Tsinghua University']",Not Found
I'M HOI: Inertia-aware Monocular Capture of 3D Human-Object Interactions,"['Chengfeng Zhao', 'Juze Zhang', 'Jiashen Du', 'Ziwei Shan', 'Junye Wang', 'Jingyi Yu', 'Jingya Wang', 'Lan Xu']","['ShanghaiTech University', 'ShanghaiTech University', None, 'ShanghaiTech University', 'ShanghaiTech University', 'Shanghai Tech University', 'ShanghaiTech University', 'ShanghaiTech University']","10 December, 2023"
Overcoming Generic Knowledge Loss with Selective Parameter Update,"['Wenxuan Zhang', 'Paul Janson', 'Rahaf Aljundi', 'Mohamed Elhoseiny']","['King Abdullah University of Science and Technology', 'Concordia University/ MILA', 'Toyota Motor Europe', 'KAUST']","23 August, 2023"
CoDeF: Content Deformation Fields for Temporally Consistent Video Processing,"['Hao Ouyang', 'Qiuyu Wang', 'Yuxi Xiao', 'Qingyan Bai', 'Juntao Zhang', 'Kecheng Zheng', 'Xiaowei Zhou', 'Qifeng Chen', 'Yujun Shen']","['Department of Computer Science and Engineering, Hong Kong University of Science and Technology', 'Ant Group', 'Zhejiang University', 'Hong Kong University of Science and Technology', 'Hong Kong University of Science and Technology', 'Ant Group', None, 'Hong Kong University of Science and Technology', 'The Chinese University of Hong Kong']","15 August, 2023"
Text2HOI: Text-guided 3D Motion Generation for Hand-Object Interaction,"['Junuk Cha', 'Jihyeon Kim', 'Jae Shin Yoon', 'Seungryul Baek']","['UNIST', 'Ulsan National Institute of Science and Technology', 'Adobe Systems', 'UNIST']","31 March, 2024"
From Audio to Photoreal Embodiment: Synthesizing Humans in Conversations,"['Evonne Ng', 'Javier Romero', 'Timur Bagautdinov', 'Shaojie Bai', 'Trevor Darrell', 'Angjoo Kanazawa', 'Alexander Richard']","['University of California, Berkeley', None, 'Reality Labs Research', 'Meta', 'Electrical Engineering & Computer Science Department', 'UC Berkeley', 'Reality Labs Research, Meta']",January 2024
BT-Adapter: Video Conversation is Feasible Without Video Instruction Tuning,"['Ruyang Liu', 'Chen Li', 'Yixiao Ge', 'Thomas H. Li', 'Ying Shan', 'Ge Li']","['Peking University', 'Tencent ARC Lab', 'Tencent', 'AIIT, Peking University', 'Tencent', 'Peking University Shenzhen Graduate School']","27 September, 2023"
URHand: Universal Relightable Hands,"['Zhaoxi Chen', 'Gyeongsik Moon', 'Kaiwen Guo', 'Chen Cao', 'Stanislav Pidhorskyi', 'Tomas Simon', 'Rohan Joshi', 'Yuan Dong', 'Yichen Xu', 'Bernardo Pires', 'He Wen', 'Lucas Evans', 'Bo Peng', 'Julia Buffalini', 'Autumn Trimble', 'Kevyn McPhail', 'Melissa Schoeller', 'Shoou-I Yu', 'Javier Romero', 'Michael Zollhoefer', 'Yaser Sheikh', 'Ziwei Liu', 'Shunsuke Saito']","['Nanyang Technological University', None, 'Google', 'Facebook', 'Meta', 'Meta', 'Facebook', 'Facebook', 'Meta platforms inc', 'Meta Platforms Inc.', 'Meta Platformts, Inc.', 'Meta', 'Meta Platforms Inc.', 'Meta', 'Meta', 'Meta', 'Meta Platforms Inc', 'Reality Labs Research, Meta', None, 'Meta', 'Meta', 'Nanyang Technological University', 'Reality Labs Research']",January 2024
URHand: Universal Relightable Hands,"['Zhaoxi Chen', 'Gyeongsik Moon', 'Kaiwen Guo', 'Chen Cao', 'Stanislav Pidhorskyi', 'Tomas Simon', 'Rohan Joshi', 'Yuan Dong', 'Yichen Xu', 'Bernardo Pires', 'He Wen', 'Lucas Evans', 'Bo Peng', 'Julia Buffalini', 'Autumn Trimble', 'Kevyn McPhail', 'Melissa Schoeller', 'Shoou-I Yu', 'Javier Romero', 'Michael Zollhoefer', 'Yaser Sheikh', 'Ziwei Liu', 'Shunsuke Saito']","['Nanyang Technological University', None, 'Google', 'Facebook', 'Meta', 'Meta', 'Facebook', 'Facebook', 'Meta platforms inc', 'Meta Platforms Inc.', 'Meta Platformts, Inc.', 'Meta', 'Meta Platforms Inc.', 'Meta', 'Meta', 'Meta', 'Meta Platforms Inc', 'Reality Labs Research, Meta', None, 'Meta', 'Meta', 'Nanyang Technological University', 'Reality Labs Research']",January 2024
