Title,Authors,Institutes,Submission Date
Scaling Vision Transformers to 22 Billion Parameters,"['Mostafa Dehghani', 'Josip Djolonga', 'Basil Mustafa', 'Piotr Padlewski', 'Jonathan Heek', 'Justin Gilmer', 'Andreas Peter Steiner', 'Mathilde Caron', 'Robert Geirhos', 'Ibrahim Alabdulmohsin', 'Rodolphe Jenatton', 'Lucas Beyer', 'Michael Tschannen', 'Anurag Arnab', 'Xiao Wang', 'Carlos Riquelme Ruiz', 'Matthias Minderer', 'Joan Puigcerver', 'Utku Evci', 'Manoj Kumar', 'Sjoerd van Steenkiste', 'Gamaleldin Fathy Elsayed', 'Aravindh Mahendran', 'Fisher Yu', 'Avital Oliver', 'Fantine Huot', 'Jasmijn Bastings', 'Mark Collier', 'Alexey A. Gritsenko', 'Vighnesh Birodkar', 'Cristina Nader Vasconcelos', 'Yi Tay', 'Thomas Mensink', 'Alexander Kolesnikov', 'Filip Pavetic', 'Dustin Tran', 'Thomas Kipf', 'Mario Lucic', 'Xiaohua Zhai', 'Daniel Keysers', 'Jeremiah J. Harmsen', 'Neil Houlsby']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",February 2023
Are labels informative in semi-supervised learning? Estimating and leveraging the missing-data mechanism.,"['Aude Sportisse', 'Hugo Schmutz', 'Olivier HUMBERT', 'Charles Bouveyron', 'Pierre-Alexandre Mattei']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
Graphically Structured Diffusion Models,"['Christian Dietrich Weilbach', 'William Harvey', 'Frank Wood']","['Not Found', 'Not Found', 'Not Found']","20 October, 2022"
Learning Control-Oriented Dynamical Structure from Data,"['Spencer M. Richards', 'Jean-Jacques Slotine', 'Navid Azizan', 'Marco Pavone']","['Not Found', 'Not Found', 'Not Found', 'Not Found']","5 February, 2023"
Robustly Learning a Single Neuron via Sharpness,"['Puqian Wang', 'Nikos Zarifis', 'Ilias Diakonikolas', 'Jelena Diakonikolas']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",June 2023
A Study of Global and Episodic Bonuses for Exploration in Contextual MDPs,"['Mikael Henaff', 'Minqi Jiang', 'Roberta Raileanu']","['Not Found', 'Not Found', 'Not Found']",June 2023
"Rockmate: an Efficient, Fast, Automatic and Generic Tool for Re-materialization in PyTorch","['Xunyi Zhao', 'Théotime Le Hellard', 'Lionel Eyraud-Dubois', 'Julia Gusak', 'Olivier Beaumont']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",July 2023
"Inflow, Outflow, and Reciprocity in Machine Learning","['Mukund Sundararajan', 'Walid Krichene']","['Not Found', 'Not Found']",Not Found
Deja Vu: Contextual Sparsity for Efficient LLMs at Inference Time,"['Zichang Liu', 'Jue WANG', 'Tri Dao', 'Tianyi Zhou', 'Binhang Yuan', 'Zhao Song', 'Anshumali Shrivastava', 'Ce Zhang', 'Yuandong Tian', 'Christopher Re', 'Beidi Chen']","['Not Found', 'Not Found', 'Computer Science,Princeton University(princeton.edu)', 'Not Found', 'Hong Kong University of Science and Technology(ust.hk)', 'Simons Institute for the Theory of Computing,University of California, Berkeley(berkeley.edu)', 'Rice University(rice.edu)', 'University of Chicago(uchicago.edu)', 'Meta AI (FAIR)(meta.com)', 'Not Found', 'CMU, Carnegie Mellon University(andrew.cmu.edu)']",October 2023
Reinforcement Learning from Passive Data via Latent Intentions,"['Dibya Ghosh', 'Chethan Anand Bhateja', 'Sergey Levine']","['University of California Berkeley(berkeley.edu)', 'University of California, Berkeley(berkeley.edu)', 'University of California Berkeley(berkeley.edu)']",April 2023
Best of Both Worlds Policy Optimization,"['Christoph Dann', 'Chen-Yu Wei', 'Julian Zimmert']","['Google(google.com)', 'Computer Science,University of Virginia, Charlottesville(virginia.edu)', 'Google(google.com)']","3 October, 2024"
Inferring Relational Potentials in Interacting Systems,"['Armand Comas', 'Yilun Du', 'Christian Fernandez Lopez', 'Sandesh Ghimire', 'Mario Sznaier', 'Joshua B. Tenenbaum', 'Octavia Camps']","['Northeastern University(neu.edu)', 'Google(google.com)', 'Universidad Politécnica de Cataluna(upc.edu)', 'QualComm(qualcomm.com)', 'Electrical and Computer Engineering,Northeastern University(northeastern.edu)', 'Massachusetts Institute of Technology(mit.edu)', 'ECE,Northeastern University(northeastern.edu)']",October 2023
Raising the Cost of Malicious AI-Powered Image Editing,"['Hadi Salman', 'Alaa Khaddaj', 'Guillaume Leclerc', 'Andrew Ilyas', 'Aleksander Madry']","['Massachusetts Institute of Technology(mit.edu)', 'Massachusetts Institute of Technology(mit.edu)', 'Massachusetts Institute of Technology(mit.edu)', 'Stein Fellow (Statistics),Stanford University(stanford.edu)', 'Massachusetts Institute of Technology(mit.edu)']",February 2023
Weighted Flow Diffusion for Local Graph Clustering with Node Attributes: an Algorithm and Statistical Guarantees,"['Shenghao Yang', 'Kimon Fountoulakis']","['University of California, Berkeley(berkeley.edu)', 'University of Waterloo(uwaterloo.ca)']","30 January, 2023"
Representation Learning with Multi-Step Inverse Kinematics: An Efficient and Optimal Approach to Rich-Observation RL,"['Zakaria Mhammedi', 'Dylan J Foster', 'Alexander Rakhlin']","['Research, Google(research.google.com)', 'Microsoft Research(microsoft.com)', 'Massachusetts Institute of Technology(mit.edu)']",April 2023
Tighter Information-Theoretic Generalization Bounds from Supersamples,"['Ziqiao Wang', 'Yongyi Mao']","['School of Computer Science and Technology,Tongji University(tongji.edu.cn)', 'EECS,University of Ottawa(eecs.uottawa.ca)']","5 February, 2023"
Do the Rewards Justify the Means? Measuring Trade-Offs Between Rewards and Ethical Behavior in the Machiavelli Benchmark,"['Alexander Pan', 'Jun Shern Chan', 'Andy Zou', 'Nathaniel Li', 'Steven Basart', 'Thomas Woodside', 'Hanlin Zhang', 'Scott Emmons', 'Dan Hendrycks']","['University of California, Berkeley(berkeley.edu)', 'OpenAI(openai.com)', 'CMU, Carnegie Mellon University(andrew.cmu.edu)', 'Scale AI(scale.com)', 'Computer science,Center for AI Safety(safe.ai)', 'Center for Security and Emerging Technology, Georgetown University(cset.georgetown.edu)', 'Harvard University(harvard.edu)', 'Google DeepMind(deepmind.google)', 'Center for AI Safety(safe.ai)']",Not Found
Transformers Learn In-Context by Gradient Descent,"['Johannes von Oswald', 'Eyvind Niklasson', 'Ettore Randazzo', 'Joao Sacramento', 'Alexander Mordvintsev', 'Andrey Zhmoginov', 'Max Vladymyrov']","['Paradigms of Intelligence,Google(research.google.com)', 'Research, Google(research.google.com)', 'Politecnico di Milano(polimi.it)', 'Google(google.com)', 'ITMO(itmo.ru)', 'Google DeepMind(google.com)', 'Google DeepMind(deepmind.google)']",October 2025
Beyond the Universal Law of Robustness: Sharper Laws for Random Features and Neural Tangent Kernels,"['Simone Bombari', 'Shayan Kiyani', 'Marco Mondelli']","['n/a,Institute of Science and Technology(ist.ac.at)', 'ESE,University of Pennsylvania, University of Pennsylvania(upenn.edu)', 'Institute of Science and Technology Austria(ist.ac.at)']","3 February, 2023"
Tighter Lower Bounds for Shuffling SGD: Random Permutations and Beyond,"['Jaeyoung Cha', 'Jaewook Lee', 'Chulhee Yun']","['AI,Korea Advanced Institute of Science & Technology(kaist.ac.kr)', 'Electrical Engineering,Stanford University(stanford.edu)', 'Google(google.com)']","13 March, 2023"
Specializing Smaller Language Models towards Multi-Step Reasoning,"['Yao Fu', 'Hao Peng', 'Litu Ou', 'Ashish Sabharwal', 'Tushar Khot']","['University of Edinburgh(ed.ac.uk)', 'Computer Science,University of Illinois Urbana-Champaign(illinois.edu)', 'ILCC,University of Edinburgh(ed.ac.uk)', 'Allen Institute for AI(allenai.org)', 'Aristo,Allen Institute for Artificial Intelligence(allenai.org)']",January 2023
Towards Reliable Neural Specifications,"['Chuqin Geng', 'Nham Le', 'Xiaojie Xu', 'Zhaoyue Wang', 'Arie Gurfinkel', 'Xujie Si']","['Computer Science,McGill University(mail.mcgill.ca)', 'University of Waterloo(uwaterloo.ca)', 'McGill University, McGill University(mail.mcgill.ca)', 'McGill University(mcgill.ca)', 'University of Waterloo(uwaterloo.ca)', 'Department of Computer Science,University of Toronto(toronto.edu)']","28 October, 2022"
Exponential Smoothing for Off-Policy Learning,"['Imad AOUALI', 'Victor-Emmanuel Brunel', 'David Rohde', 'Anna Korba']","['Criteo(criteo.com)', 'Not Found', 'Not Found', 'Not Found']","25 May, 2023"
Refining Generative Process with Discriminator Guidance in Score-based Diffusion Models,"['Dongjun Kim', 'Yeongmin Kim', 'Se Jung Kwon', 'Wanmo Kang', 'Il-chul Moon']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","28 November, 2022"
Adversarial Example Does Good: Preventing Painting Imitation from Diffusion Models via Adversarial Examples,"['Chumeng Liang', 'Xiaoyu Wu', 'Yang Hua', 'Jiaru Zhang', 'Yiming Xue', 'Tao Song', 'Zhengui XUE', 'Ruhui Ma', 'Haibing Guan']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","9 February, 2023"
Self-Interpretable Time Series Prediction with Counterfactual Explanations,"['Jingquan Yan', 'Hao Wang']","['Not Found', 'Not Found']","9 June, 2023"
Sketch-Flip-Merge: Mergeable Sketches for Private Distinct Counting,"['Jonathan Hehir', 'Daniel Ting', 'Graham Cormode']","['Not Found', 'Not Found', 'Not Found']",February 2023
Second-Order Optimization with Lazy Hessians,"['Nikita Doikov', 'El Mahdi Chayti', 'Martin Jaggi']","['Not Found', 'Not Found', 'Not Found']","12 October, 2024"
Quantile Credit Assignment,"['Thomas Mesnard', 'Wenqi Chen', 'Alaa Saade', 'Yunhao Tang', 'Mark Rowland', 'Theophane Weber', 'Clare Lyle', 'Audrunas Gruslys', 'Michal Valko', 'Will Dabney', 'Georg Ostrovski', 'Eric Moulines', 'Remi Munos']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
Diffusion Models are Minimax Optimal Distribution Estimators,"['Kazusato Oko', 'Shunta Akiyama', 'Taiji Suzuki']","['Not Found', 'Not Found', 'Not Found']",September 2024
Pretraining Language Models with Human Preferences,"['Tomasz Korbak', 'Kejian Shi', 'Angelica Chen', 'Rasika Vinayak Bhalerao', 'Christopher Buckley', 'Jason Phang', 'Samuel R. Bowman', 'Ethan Perez']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","16 February, 2023"
RankMe: Assessing the Downstream Performance of Pretrained Self-Supervised Representations by Their Rank,"['Quentin Garrido', 'Randall Balestriero', 'Laurent Najman', 'Yann LeCun']","['Not Found', 'Not Found', 'Not Found', 'Not Found']","5 October, 2022"
Robust Budget Pacing with a Single Sample,"['Santiago R. Balseiro', 'Rachitesh Kumar', 'Vahab Mirrokni', 'Balasubramanian Sivan', 'Di Wang']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",February 2023
SparseGPT: Massive Language Models Can be Accurately Pruned in One-Shot,"['Elias Frantar', 'Dan Alistarh']","['Not Found', 'Not Found']","2 January, 2023"
Efficient RL via Disentangled Environment and Agent Representations,"['Kevin Gmelin', 'Shikhar Bahl', 'Russell Mendonca', 'Deepak Pathak']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",September 2023
Evaluating Self-Supervised Learning via Risk Decomposition,"['Yann Dubois', 'Tatsunori Hashimoto', 'Percy Liang']","['Not Found', 'Not Found', 'Not Found']","6 February, 2023"
Multicalibration as Boosting for Regression,"['Ira Globus-Harris', 'Declan Harrison', 'Michael Kearns', 'Aaron Roth', 'Jessica Sorrell']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",January 2023
Do Perceptually Aligned Gradients Imply Robustness?,"['Roy Ganz', 'Bahjat Kawar', 'Michael Elad']","['Not Found', 'Not Found', 'Not Found']",Not Found
Spherical Inducing Features for Orthogonally-Decoupled Gaussian Processes,"['Louis C. Tiao', 'Vincent Dutordoir', 'Victor Picheny']","['Not Found', 'Not Found', 'Not Found']","27 April, 2023"
Mastering the Unsupervised Reinforcement Learning Benchmark from Pixels,"['Sai Rajeswar', 'Pietro Mazzaglia', 'Tim Verbelen', 'Alexandre Piché', 'Bart Dhoedt', 'Aaron Courville', 'Alexandre Lacoste']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","24 September, 2022"
SparseProp: Efficient Sparse Backpropagation for Faster Training of Neural Networks at the Edge,"['Mahdi Nikdan', 'Tommaso Pegolotti', 'Eugenia Iofinova', 'Eldar Kurtic', 'Dan Alistarh']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
Hierarchies of Reward Machines,"['Daniel Furelos-Blanco', 'Mark Law', 'Anders Jonsson', 'Krysia Broda', 'Alessandra Russo']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",March 2024
