Title,Authors,Institutes,Submission Date
Joint Reward and Policy Learning with Demonstrations and Human Feedback Improves Alignment,"['Chenliang Li', 'Siliang Zeng', 'Zeyi Liao', 'Jiaxiang Li', 'Dongyeop Kang', 'Alfredo Garcia', 'Mingyi Hong']","['Texas A&M University - College Station(tamu.edu)', 'Department of Electrical and Computer Engineering,University of Minnesota, Twin Cities(umn.edu)', 'CSE,Ohio State University, Columbus(osu.edu)', 'Facebook(meta.com)', 'University of Minnesota(umn.edu)', 'Industrial and Systems,Texas A&M University - College Station(tamu.edu)', 'AGI,Amazon(amazon.com)']",Not Found
Counterfactual Realizability,"['Arvind Raghavan', 'Elias Bareinboim']","['Computer Science,Columbia University(columbia.edu)', 'Columbia University(columbia.edu)']",March 2025
Robustness Reprogramming for Representation Learning,"['Zhichao Hou', 'MohamadAli Torkamani', 'Hamid Krim', 'Xiaorui Liu']","['Computer Science,North Carolina State University(ncsu.edu)', 'AWS AI(amazon.com)', 'ECE,North Carolina State University(ncsu.edu)', 'Computer Science,North Carolina State University(ncsu.edu)']",October 2024
LayerDAG: A Layerwise Autoregressive Diffusion Model for Directed Acyclic Graph Generation,"['Mufei Li', 'Viraj Shitole', 'Eli Chien', 'Changhai Man', 'Zhaodong Wang', 'Srinivas', 'Ying Zhang', 'Tushar Krishna', 'Pan Li']","['Georgia Institute of Technology(gatech.edu)', 'Georgia Institute of Technology(gatech.edu)', 'National Taiwan University(ntu.edu.tw)', 'Electrical and Computer Engineer,Georgia Institute of Technology(gatech.edu)', 'Facebook(meta.com)', 'NVIDIA(nvidia.com)', 'University of Michigan - Ann Arbor(umich.edu)', 'ECE,Georgia Institute of Technology(gatech.edu)', 'Georgia Institute of Technology(gatech.edu)']","4 November, 2024"
DailyDilemmas: Revealing Value Preferences of LLMs with Quandaries of Daily Life,"['Yu Ying Chiu', 'Liwei Jiang', 'Yejin Choi']","['University of Washington(uw.edu)', 'University of Washington(washington.edu)', 'Computer Science,Computer Science Department, Stanford University(cs.stanford.edu)']","3 October, 2024"
Learning-Augmented Frequent Directions,"['Anders Aamand', 'Justin Y. Chen', 'Siddharth Gollapudi', 'Sandeep Silwal', 'Hao WU']","['University of Copenhagen(diku.dk)', 'EECS,Massachusetts Institute of Technology(mit.edu)', 'Not Found', 'Department of Computer Science, University of Wisconsin - Madison(cs.wisc.edu)', 'University of Waterloo(uwaterloo.ca)']",March 2025
No Need to Talk: Asynchronous Mixture of Language Models,"['Anastasiia Filippova', 'Angelos Katharopoulos', 'David Grangier', 'Ronan Collobert']","['MLR,Apple(apple.com)', 'Apple(apple.com)', 'Apple(apple.com)', 'Apple(apple.com)']","4 October, 2024"
Estimating the Probabilities of Rare Outputs in Language Models,"['Gabriel Wu', 'Jacob Hilton']","['Harvard University(harvard.edu)', 'Alignment Research Center(alignment.org)']","17 October, 2024"
Quality Measures for Dynamic Graph Generative Models,"['Ryien Hosseini', 'Filippo Simini', 'Venkatram Vishwanath', 'Rebecca Willett', 'Henry Hoffmann']","['University of Chicago(uchicago.edu)', 'Argonne National Laboratory(anl.gov)', 'Argonne National Laboratory(anl.gov)', 'Statistics and Computer Science,University of Chicago(uchicago.edu)', 'University of Chicago(uchicago.edu)']",March 2025
Correlated Proxies: A New Definition and Improved Mitigation for Reward Hacking,"['Cassidy Laidlaw', 'Shivam Singhal', 'Anca Dragan']","['Electrical Engineering and Computer Science,University of California Berkeley(berkeley.edu)', 'Meta(meta.com)', 'University of California Berkeley(berkeley.edu)']","5 March, 2024"
Holistically Evaluating the Environmental Impact of Creating Language Models,"['Jacob Morrison', 'Clara Na', 'Jared Fernandez', 'Tim Dettmers', 'Emma Strubell', 'Jesse Dodge']","['University of Washington(washington.edu)', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",March 2025
Mixture-of-Agents Enhances Large Language Model Capabilities,"['Junlin Wang', 'Jue WANG', 'Ben Athiwaratkun', 'Ce Zhang', 'James Zou']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",June 2024
"Answer, Assemble, Ace: Understanding How LMs Answer Multiple Choice Questions","['Sarah Wiegreffe', 'Oyvind Tafjord', 'Yonatan Belinkov', 'Hannaneh Hajishirzi', 'Ashish Sabharwal']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","20 July, 2024"
Provable Uncertainty Decomposition via Higher-Order Calibration,"['Gustaf Ahdritz', 'Aravind Gollakota', 'Parikshit Gopalan', 'Charlotte Peale', 'Udi Wieder']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",December 2024
Sparse components distinguish visual pathways & their alignment to neural networks,"['Ammar I Marvi', 'Nancy Kanwisher', 'Meenakshi Khosla']","['Not Found', 'Not Found', 'Not Found']",October 2025
Reducing Hallucinations in Large Vision-Language Models via Latent Space Steering,"['Sheng Liu', 'Haotian Ye', 'James Zou']","['Not Found', 'Not Found', 'Not Found']",Not Found
Mitigating Memorization in Language Models,"['Mansi Sakarvadia', 'Aswathy Ajith', 'Arham Mushtaq Khan', 'Nathaniel C Hudson', 'Caleb Geniesse', 'Kyle Chard', 'Yaoqing Yang', 'Ian Foster', 'Michael W. Mahoney']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",August 2025
Effective post-training embedding compression via temperature control in contrastive training,"['Georgiana Dinu', 'Corey D Barrett', 'Yi Xiang', 'Miguel Romero Calvo', 'Anna Currey', 'Xing Niu']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
TopoNets: High performing vision and language models with brain-like topography,"['Mayukh Deb', 'Mainak Deb', 'Apurva Ratan Murty']","['Not Found', 'Not Found', 'Not Found']",January 2025
