Title,Authors,Institutes,Submission Date
Guiding a Diffusion Model with a Bad Version of Itself,"['Tero Karras', 'Miika Aittala', 'Tuomas Kynkäänniemi', 'Jaakko Lehtinen', 'Timo Aila', 'Samuli Laine']","['NVIDIA(nvidia.com)', 'NVIDIA(nvidia.com)', 'Not Found', 'Aalto University(aalto.fi)', 'NVIDIA(nvidia.com)', 'NVIDIA(nvidia.com)']","4 June, 2024"
RG-SAN: Rule-Guided Spatial Awareness Network for End-to-End 3D Referring Expression Segmentation,"['Changli Wu', 'Qi Chen', 'Jiayi Ji', 'Haowei Wang', 'Yiwei Ma', 'You Huang', 'Gen Luo', 'Hao Fei', 'Xiaoshuai Sun', 'Rongrong Ji']","['Not Found', 'school of Informatics,Xiamen University(xmu.edu.cn)', 'National University of Singapore(nus.edu.sg)', 'Tencent Youtu Lab(tencent.com)', 'Xiamen University(xmu.edu.cn)', 'Xiamen University(xmu.edu.cn)', 'Shanghai Artificial Intelligence Laboratory(pjlab.org.cn)', 'National University of Singapore(nus.edu.sg)', 'Xiamen University(xmu.edu.cn)', 'Department of Artificial Intelligence,Xiamen University(xmu.edu.cn)']","3 December, 2024"
VASA-1: Lifelike Audio-Driven Talking Faces Generated in Real Time,"['Sicheng Xu', 'Guojun Chen', 'Yu-Xiao Guo', 'Jiaolong Yang', 'Chong Li', 'Zhenyu Zang', 'Yizhong Zhang', 'Xin Tong', 'Baining Guo']","['Microsoft(microsoft.com)', 'Research, Microsoft(research.microsoft.com)', 'Microsoft Research Asia(microsoft.com)', 'Microsoft(microsoft.com)', 'MSRA,Microsoft(microsoft.com)', 'Research, Microsoft(research.microsoft.com)', 'Microsoft Research Asia,Microsoft(microsoft.com)', 'Anuttacon(anuttacon.com)', 'Microsoft Research(microsoft.com)']","16 April, 2024"
Learning rigid-body simulators over implicit shapes for large-scale scenes and vision,"['Yulia Rubanova', 'Tatiana Lopez-Guevara', 'Kelsey R Allen', 'William F Whitney', 'Kim Stachenfeld', 'Tobias Pfaff']","['Google DeepMind(deepmind.com)', 'Google(google.com)', 'Google(deepmind.com)', 'DeepMind(deepmind.com)', 'Neuroscience,Columbia University(columbia.edu)', 'NVIDIA(nvidia.com)']",May 2024
Neural Pfaffians: Solving Many Many-Electron Schrödinger Equations,"['Nicholas Gao', 'Stephan Günnemann']","['CuspAI(cusp.ai)', 'Technical University Munich(tum.de)']","23 May, 2024"
DapperFL: Domain Adaptive Federated Learning with Model Fusion Pruning for Edge Devices,"['Yongzhe Jia', 'Xuyun Zhang', 'Hongsheng Hu', 'Kim-Kwang Raymond Choo', 'Lianyong Qi', 'Xiaolong Xu', 'Amin Beheshti', 'Wanchun Dou']","['Institute of AI for Industries(iaii.ac.cn)', 'School of Computing,Macquarie University(mq.edu.au)', 'Not Found', 'Not Found', 'College of Computer Science and Technology,China University of Petroleum(upc.edu.cn)', 'Nanjing University of Information Science and Technology(nuist.edu.cn)', 'School of Computing,Macquarie University(mq.edu.au)', 'School of Computer Science,nanjing university(nju.edu.cn)']",December 2024
DenoiseRep: Denoising Model for Representation Learning,"['zhengrui Xu', ""Guan'an Wang"", 'Xiaowen Huang', 'Jitao Sang']","['Beijing Jiaotong University(bjtu.edu.cn)', 'Peking University(pku.edu.cn)', 'Beijing Jiaotong University(bjtu.edu.cn)', 'Not Found']","12 June, 2024"
Optimal Parallelization of Boosting,"['Arthur da Cunha', 'Mikael Møller Høgsgaard', 'Kasper Green Larsen']","['Not Found', 'Aarhus University(cs.au.dk)', 'Aarhus University(au.dk)']","29 August, 2024"
"Decompose, Analyze and Rethink: Solving Intricate Problems with Human-like Reasoning Cycle","['Shangzi Xue', 'Zhenya Huang', 'Jiayu Liu', 'Xin Lin', 'Yuting Ning', 'Binbin Jin', 'Xin Li', 'Qi Liu']","['University of Science and Technology of China(ustc.edu.cn)', 'School of Computer Science and Technology,University of Science and Technology of China(ustc.edu.cn)', 'Data Science,University of Science and Technology of China(ustc.edu)', 'School of Computer Science and Technology,University of Science and Technology of China(ustc.edu.cn)', 'Ohio State University, Columbus(osu.edu)', 'University of Science and Technology of China(ustc.edu.cn)', 'University of Science and Technology of China(ustc.edu.cn)', 'School of Artificial Intelligence and Data Science,University of Science and Technology of China(ustc.edu.cn)']",Not Found
Bayesian-guided Label Mapping for Visual Reprogramming,"['Chengyi Cai', 'Zesheng Ye', 'Lei Feng', 'Jianzhong Qi', 'Feng Liu']","['University of Melbourne(unimelb.edu.au)', 'Not Found', 'School of Computer Science and Engineering,Southeast University(seu.edu.cn)', 'School of Computing and Information Systems,University of Melbourne(unimelb.edu.au)', 'Computing and Information Systems,University of Melbourne(unimelb.edu.au)']",October 2024
