Title,Authors,Institutes,Submission Date
Ask Me Anything: A simple strategy for prompting language models,"['Simran Arora', 'Avanika Narayan', 'Mayee F Chen', 'Laurel Orr', 'Neel Guha', 'Kush Bhatia', 'Ines Chami', 'Christopher Re']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","5 October, 2022"
On Representing Linear Programs by Graph Neural Networks,"['Ziang Chen', 'Jialin Liu', 'Xinshang Wang', 'Wotao Yin']","['Not Found', 'Not Found', 'Not Found', 'Not Found']","19 October, 2022"
Scale-invariant Bayesian Neural Networks with Connectivity Tangent Kernel,"['SungYub Kim', 'Sihwan Park', 'Kyung-Su Kim', 'Eunho Yang']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",September 2022
Minimalistic Unsupervised Representation Learning with the Sparse Manifold Transform,"['Yubei Chen', 'Zeyu Yun', 'Yi Ma', 'Bruno Olshausen', 'Yann LeCun']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
GEASS: Neural causal feature selection for high-dimensional biological data,"['Mingze Dong', 'Yuval Kluger']","['Not Found', 'Not Found']",Not Found
SmartFRZ: An Efficient Training Framework using Attention-Based Layer Freezing,"['Sheng Li', 'Geng Yuan', 'Yue Dai', 'Youtao Zhang', 'Yanzhi Wang', 'Xulong Tang']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",January 2024
The In-Sample Softmax for Offline Reinforcement Learning,"['Chenjun Xiao', 'Han Wang', 'Yangchen Pan', 'Adam White', 'Martha White']","['Not Found', 'Not Found', 'Not Found', 'Computing Science,University of Alberta(ualberta.ca)', 'University of Alberta(ualberta.ca)']","28 February, 2023"
Unsupervised Meta-learning via Few-shot Pseudo-supervised Contrastive Learning,"['Huiwon Jang', 'Hankook Lee', 'Jinwoo Shin']","['Korea Advanced Institute of Science and Technology(kaist.ac.kr)', 'Sungkyunkwan University(skku.edu)', 'Korea Advanced Institute of Science & Technology(kaist.ac.kr)']",March 2023
Guiding Energy-based Models via Contrastive Latent Variables,"['Hankook Lee', 'Jongheon Jeong', 'Sejun Park', 'Jinwoo Shin']","['Sungkyunkwan University(skku.edu)', 'Korea University(korea.ac.kr)', 'Korea University(korea.ac.kr)', 'Korea Advanced Institute of Science & Technology(kaist.ac.kr)']",March 2023
Implicit regularization in Heavy-ball momentum accelerated stochastic gradient descent,"['Avrajit Ghosh', 'He Lyu', 'Xitong Zhang', 'Rongrong Wang']","['EECS,University of California, Berkeley(berkeley.edu)', 'Facebook(meta.com)', 'Qualcomm Inc, QualComm(qti.qualcomm.com)', 'CMSE and Math,Michigan State University(msu.edu)']",February 2023
Real-time variational method for learning neural trajectory and its dynamics,"['Matthew Dowling', 'Yuan Zhao', 'Il Memming Park']","['State University of New York, Stony Brook(stonybrook.edu)', 'National Institute of Mental Health(nih.gov)', 'Champalimaud Centre for the Unknown(fchampalimaud.org)']",May 2023
Energy-Inspired Self-Supervised Pretraining for Vision Models,"['Ze Wang', 'Jiang Wang', 'Zicheng Liu', 'Qiang Qiu']","['Advanced Micro Devices(amd.com)', 'Azure,Microsoft(microsoft.com)', 'Advanced Micro Devices(amd.com)', 'ECE,Purdue University(purdue.edu)']",February 2023
Binding Language Models in Symbolic Languages,"['Zhoujun Cheng', 'Tianbao Xie', 'Peng Shi', 'Chengzu Li', 'Rahul Nadkarni', 'Yushi Hu', 'Caiming Xiong', 'Dragomir Radev', 'Mari Ostendorf', 'Luke Zettlemoyer', 'Noah A. Smith', 'Tao Yu']","['UC San Diego,UC San Diego(ucsd.edu)', 'University of Hong Kong(cs.hku.hk)', 'Amazon AWS(amazon.com)', 'University of Cambridge(cam.ac.uk)', 'Department of Computer Science & Engineering, University of Washington(cs.washington.edu)', 'University of Washington(uw.edu)', 'Salesforce Research(salesforce.com)', 'Yale University(yale.edu)', 'Electrical & Computer Engineering,University of Washington(u.washington.edu)', 'University of Washington(cs.washington.edu)', 'Computer Science & Engineering,University of Washington(washington.edu)', 'The University of Hong Kong(hku.hk)']","3 June, 2024"
"Evolve Smoothly, Fit Consistently: Learning Smooth Latent Dynamics For Advection-Dominated Systems","['Zhong Yi Wan', 'Leonardo Zepeda-Nunez', 'Anudhyan Boral', 'Fei Sha']","['Google(google.com)', 'Google(google.com)', 'Not Found', 'Google(google.com)']","24 January, 2023"
BC-IRL: Learning Generalizable Reward Functions from Demonstrations,"['Andrew Szot', 'Amy Zhang', 'Dhruv Batra', 'Zsolt Kira', 'Franziska Meier']","['Georgia Institute of Technology(gatech.edu)', 'University of Texas at Austin(utexas.edu)', 'Georgia Institute of Technology(gatech.edu)', 'School of Interactive Computing,Georgia Institute of Technology(gatech.edu)', 'Not Found']",March 2023
Phase2vec: dynamical systems embedding with a physics-informed convolutional network,"['Matt Ricci', 'Noa Moriel', 'Zoe Piran', 'Mor Nitzan']","['Faculté de Santé,Université Paris Cité(u-paris.fr)', 'Not Found', 'Genentech(gene.com)', 'Hebrew University of Jerusalem(huji.ac.il)']","7 December, 2022"
gDDIM: Generalized denoising diffusion implicit models,"['Qinsheng Zhang', 'Molei Tao', 'Yongxin Chen']","['NVIDIA(nvidia.com)', 'Georgia Institute of Technology(gatech.edu)', 'NVIDIA(nvidia.com)']","11 June, 2022"
FedExP: Speeding Up Federated Averaging via Extrapolation,"['Divyansh Jhunjhunwala', 'Shiqiang Wang', 'Gauri Joshi']","['Carnegie Mellon University(cmu.edu)', 'Dept. of Computer Science,University of Exeter(exeter.ac.uk)', 'Not Found']","23 January, 2023"
Serving Graph Compression for Graph Neural Networks,"['Si Si', 'Felix Yu', 'Ankit Singh Rawat', 'Cho-Jui Hsieh', 'Sanjiv Kumar']","['Google(google.com)', 'Google(google.com)', 'Google(google.com)', 'Google(google.com)', 'Google(google.com)']",Not Found
"Learning MLPs on Graphs: A Unified View of Effectiveness, Robustness, and Efficiency","['Yijun Tian', 'Chuxu Zhang', 'Zhichun Guo', 'Xiangliang Zhang', 'Nitesh Chawla']","['Amazon(amazon.com)', 'Not Found', 'Not Found', 'University of Notre Dame(nd.edu)', 'Computer Science & Engineering,University of Notre Dame(nd.edu)']",Not Found
Contrastive Audio-Visual Masked Autoencoder,"['Yuan Gong', 'Andrew Rouditchenko', 'Alexander H. Liu', 'David Harwath', 'Leonid Karlinsky', 'Hilde Kuehne', 'James R. Glass']","['xAI Corp(x.ai)', 'Massachusetts Institute of Technology(mit.edu)', 'Massachusetts Institute of Technology(mit.edu)', 'University of Texas, Austin(utexas.edu)', 'MIT-IBM Lab,International Business Machines(ibm.com)', 'Eberhard-Karls-Universität Tübingen(uni-tuebingen.de)', 'Not Found']",July 2025
The Asymmetric Maximum Margin Bias of Quasi-Homogeneous Neural Networks,"['Daniel Kunin', 'Atsushi Yamamura', 'Chao Ma', 'Surya Ganguli']","['Stanford University(stanford.edu)', 'Stanford University(stanford.edu)', 'Stanford University(stanford.edu)', 'Stanford University(@stanford.edu)']","7 October, 2022"
Optimal Transport for Offline Imitation Learning,"['Yicheng Luo', 'zhengyao jiang', 'Samuel Cohen', 'Edward Grefenstette', 'Marc Peter Deisenroth']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","11 October, 2024"
"Is Reinforcement Learning (Not) for Natural Language Processing: Benchmarks, Baselines, and Building Blocks for Natural Language Policy Optimization","['Rajkumar Ramamurthy', 'Prithviraj Ammanabrolu', 'Kianté Brantley', 'Jack Hessel', 'Rafet Sifa', 'Christian Bauckhage', 'Hannaneh Hajishirzi', 'Yejin Choi']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","3 October, 2022"
Learning multi-scale local conditional probability models of images,"['Zahra Kadkhodaie', 'Florentin Guth', 'Stéphane Mallat', 'Eero P Simoncelli']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",March 2023
Disentanglement with Biological Constraints: A Theory of Functional Cell Types,"['James C. R. Whittington', 'Will Dorrell', 'Surya Ganguli', 'Timothy Behrens']","['Not Found', 'Not Found', 'Not Found', 'Not Found']","30 September, 2022"
Learning rigid dynamics with face interaction graph networks,"['Kelsey R Allen', 'Yulia Rubanova', 'Tatiana Lopez-Guevara', 'William F Whitney', 'Alvaro Sanchez-Gonzalez', 'Peter Battaglia', 'Tobias Pfaff']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",December 2022
Implicit Bias of Large Depth Networks: a Notion of Rank for Nonlinear Functions,['Arthur Jacot'],['Not Found'],"29 September, 2022"
Depth Separation with Multilayer Mean-Field Networks,"['Yunwei Ren', 'Mo Zhou', 'Rong Ge']","['Not Found', 'Not Found', 'Not Found']",April 2023
Rhino: Deep Causal Temporal Relationship Learning with History-dependent Noise,"['Wenbo Gong', 'Joel Jennings', 'Cheng Zhang', 'Nick Pawlowski']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",October 2022
Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation,"['Lorenz Kuhn', 'Yarin Gal', 'Sebastian Farquhar']","['Not Found', 'Not Found', 'Not Found']","19 February, 2023"
DINO as a von Mises-Fisher mixture model,"['Hariprasath Govindarajan', 'Per Sidén', 'Jacob Roll', 'Fredrik Lindsten']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",May 2024
Associative Memory Augmented Asynchronous Spatiotemporal Representation Learning for Event-based Perception,"['Uday Kamal', 'Saurabh Dash', 'Saibal Mukhopadhyay']","['Not Found', 'Not Found', 'Not Found']",Not Found
SMART: Self-supervised Multi-task pretrAining with contRol Transformers,"['Yanchao Sun', 'Shuang Ma', 'Ratnesh Madaan', 'Rogerio Bonatti', 'Furong Huang', 'Ashish Kapoor']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",January 2023
TEMPERA: Test-Time Prompt Editing via Reinforcement Learning,"['Tianjun Zhang', 'Xuezhi Wang', 'Denny Zhou', 'Dale Schuurmans', 'Joseph E. Gonzalez']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
Provable Defense Against Geometric Transformations,"['Rem Yang', 'Jacob Laurel', 'Sasa Misailovic', 'Gagandeep Singh']","['Not Found', 'Not Found', 'School of Computing and Data Science,University of Illinois, Urbana Champaign(illinois.edu)', 'University of Illinois, Urbana Champaign(illinois.edu)']","22 July, 2022"
Last Layer Re-Training is Sufficient for Robustness to Spurious Correlations,"['Polina Kirichenko', 'Pavel Izmailov', 'Andrew Gordon Wilson']","['Princeton University(princeton.edu)', 'Anthropic(anthropic.com)', 'New York University(nyu.edu)']","1 August, 2023"
Towards Interpretable Deep Reinforcement Learning with Human-Friendly Prototypes,"['Eoin M. Kenny', 'Mycal Tucker', 'Julie Shah']","['JPMC,J.P. Morgan Chase(jpmorgan.com)', 'Massachusetts Institute of Technology(mit.edu)', 'Massachusetts Institute of Technology(mit.edu)']",Not Found
The Surprising Effectiveness of Equivariant Models in Domains with Latent Symmetry,"['Dian Wang', 'Jung Yeon Park', 'Neel Sortur', 'Lawson L.S. Wong', 'Robin Walters', 'Robert Platt']","['Stanford University(stanford.edu)', 'Northeastern University(northeastern.edu)', 'Not Found', 'Khoury College of Computer Sciences,Northeastern University(northeastern.edu)', 'Northeastern University(northeastern.edu)', 'Northeastern University(neu.edu)']","16 November, 2022"
Task-customized Masked Autoencoder via Mixture of Cluster-conditional Experts,"['Zhili LIU', 'Kai Chen', 'Jianhua Han', 'Lanqing HONG', 'Hang Xu', 'Zhenguo Li', 'James Kwok']","['Department of Computer Science and Engineering,Hong Kong University of Science and Technology(hkust.edu)', 'The Hong Kong University of Science and Technology(ust.hk)', 'Huawei Technologies Ltd.(huawei.com)', 'Huawei Technologies Ltd.(huawei.com)', 'Huawei Noah‘s Ark Lab(huawei.com)', 'Department of Computer Science and Engineering, Hong Kong University of Science and Technology(cse.ust.hk)', 'Not Found']",February 2024
Modeling the Data-Generating Process is Necessary for Out-of-Distribution Generalization,"['Jivat Neet Kaur', 'Emre Kiciman', 'Amit Sharma']","['University of California, Berkeley(berkeley.edu)', 'Microsoft(microsoft.com)', 'Microsoft Research(microsoft.com)']","15 June, 2022"
Using Language to Extend to Unseen Domains,"['Lisa Dunlap', 'Clara Mohri', 'Devin Guillory', 'Han Zhang', 'Trevor Darrell', 'Joseph E. Gonzalez', 'Aditi Raghunathan', 'Anna Rohrbach']","['EECS,University of California, Berkeley(berkeley.edu)', 'Computer Science,Harvard University, Harvard University(g.harvard.edu)', 'University of California Berkeley(berkeley.edu)', 'NVIDIA(nvidia.com)', 'EECS,Electrical Engineering & Computer Science Department(eecs.berkeley.edu)', 'EECS,University of California, Berkeley(berkeley.edu)', 'Carnegie Mellon University(cmu.edu)', 'Computer Science,Technische Universität Darmstadt(tu-darmstadt.de)']","17 October, 2022"
Can We Find Nash Equilibria at a Linear Rate in Markov Games?,"['Zhuoqing Song', 'Jason D. Lee', 'Zhuoran Yang']","['Princeton University(princeton.edu)', 'Princeton University(princeton.edu)', 'Yale University(yale.edu)']",Not Found
Hebbian Deep Learning Without Feedback,"['Adrien Journé', 'Hector Garcia Rodriguez', 'Qinghai Guo', 'Timoleon Moraitis']","['EPFL - EPF Lausanne(epfl.ch)', 'Not Found', 'Huawei Technologies Ltd.(huawei.com)', 'Huawei Technologies Ltd.(huawei.com)']","23 September, 2022"
A probabilistic framework for task-aligned intra- and inter-area neural manifold estimation,"['Edoardo Balzani', 'Jean-Paul G Noel', 'Pedro Herrero-Vidal', 'Dora E Angelaki', 'Cristina Savin']","['New York University(nyu.edu)', 'New York University(nyu.edu)', 'Amazon(amazon.com)', 'Not Found', 'Center for Data Science, Center for Neural Science,New York University(nyu.edu)']",September 2022
Metadata Archaeology: Unearthing Data Subsets by Leveraging Training Dynamics,"['Shoaib Ahmed Siddiqui', 'Nitarshan Rajkumar', 'Tegan Maharaj', 'David Krueger', 'Sara Hooker']","['Department of Engineering,University of Cambridge(cam.ac.uk)', 'University of Cambridge(cam.ac.uk)', 'Toronto University(utoronto.ca)', 'Montreal Institute for Learning Algorithms, University of Montreal, Université de Montréal(mila.umontreal.ca)', 'Cohere For AI(cohere.com)']",September 2022
Proposal-Contrastive Pretraining for Object Detection from Fewer Data,"['Quentin Bouniot', 'Romaric Audigier', 'Angelique Loesch', 'Amaury Habrard']","['Helmholtz Zentrum München(helmholtz-munich.de)', 'CEA List,CEA(cea.fr)', 'CEA(cea.fr)', 'Université Saint-Etienne, Laboratoire Hubert Curien(univ-st-etienne.fr)']",October 2023
ImageNet-X: Understanding Model Mistakes with Factor of Variation Annotations,"['Badr Youbi Idrissi', 'Diane Bouchacourt', 'Randall Balestriero', 'Ivan Evtimov', 'Caner Hazirbas', 'Nicolas Ballas', 'Pascal Vincent', 'Michal Drozdzal', 'David Lopez-Paz', 'Mark Ibrahim']","['Facebook(facebook.com)', 'Facebook AI Research(fb.com)', 'Computer Science,Brown University(brown.edu)', 'Facebook(facebook.com)', 'Meta AI(meta.com)', 'Meta(meta.com)', 'University of Montreal(umontreal.ca)', 'Meta(fb.com)', 'Facebook(fb.com)', 'Facebook AI Research (FAIR) Meta(ai.facebook.com)']",November 2022
Canary in a Coalmine: Better Membership Inference with Ensembled Adversarial Queries,"['Yuxin Wen', 'Arpit Bansal', 'Hamid Kazemi', 'Eitan Borgnia', 'Micah Goldblum', 'Jonas Geiping', 'Tom Goldstein']","['Department of Computer Science,University of Maryland, College Park(umd.edu)', 'University of Maryland, College Park(umd.edu)', 'Apple(apple.com)', 'University of Chicago(uchicago.edu)', 'Electrical Engineering,Columbia University(columbia.edu)', 'ELLIS Institute Tübingen(tue.ellis.eu)', 'Computer Science,University of Maryland, College Park(umd.edu)']","19 October, 2022"
Choreographer: Learning and Adapting Skills in Imagination,"['Pietro Mazzaglia', 'Tim Verbelen', 'Bart Dhoedt', 'Alexandre Lacoste', 'Sai Rajeswar']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","23 November, 2022"
Learning About Progress From Experts,"['Jake Bruce', 'Ankit Anand', 'Bogdan Mazoure', 'Rob Fergus']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
Learning Fair Graph Representations via Automated Data Augmentations,"['Hongyi Ling', 'Zhimeng Jiang', 'Youzhi Luo', 'Shuiwang Ji', 'Na Zou']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",September 2024
Emergence of Maps in the Memories of Blind Navigation Agents,"['Erik Wijmans', 'Manolis Savva', 'Irfan Essa', 'Stefan Lee', 'Ari S. Morcos', 'Dhruv Batra']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",January 2023
Spectral Augmentation for Self-Supervised Learning on Graphs,"['Lu Lin', 'Jinghui Chen', 'Hongning Wang']","['Not Found', 'Not Found', 'Not Found']",June 2025
VIPeR: Provably Efficient Algorithm for Offline RL with Neural Function Approximation,"['Thanh Nguyen-Tang', 'Raman Arora']","['Not Found', 'Not Found']","24 February, 2023"
Self-supervised learning with rotation-invariant kernels,"['Léon Zheng', 'Gilles Puy', 'Elisa Riccietti', 'Patrick Perez', 'Rémi Gribonval']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","28 July, 2022"
Neuromechanical Autoencoders: Learning to Couple Elastic and Neural Network Nonlinearity,"['Deniz Oktay', 'Mehran Mirramezani', 'Eder Medina', 'Ryan P Adams']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",February 2023
VIP: Towards Universal Visual Reward and Representation via Value-Implicit Pre-Training,"['Yecheng Jason Ma', 'Shagun Sodhani', 'Dinesh Jayaraman', 'Osbert Bastani', 'Vikash Kumar', 'Amy Zhang']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']","30 September, 2022"
